Date,Open,High,Low,Close,Volume,Company
03-07-2006,217.8,225.9,216.6,225,535690,TCS
04-07-2006,226.4,228.9,225.6,226.9,448096,TCS
05-07-2006,227.1,232.8,225,230.3,530634,TCS
06-07-2006,228.5,229,224,225.5,288865,TCS
07-07-2006,227.5,229,217.5,218.3,366084,TCS
10-07-2006,217.5,227.2,217.5,224.8,482414,TCS
11-07-2006,225,226.9,220.4,221.2,452373,TCS
12-07-2006,222.5,238.6,222.5,236.3,1190202,TCS
13-07-2006,236.5,237.4,231.3,233.4,672947,TCS
14-07-2006,230,237,228.1,234.3,618726,TCS
17-07-2006,235.6,239.3,231.4,232.4,1124604,TCS
18-07-2006,232.5,243.8,226.9,229.3,1380492,TCS
19-07-2006,235.3,236.9,218.2,219.7,1755798,TCS
20-07-2006,222,227.5,221.3,225.8,789090,TCS
21-07-2006,224.8,225.6,219.1,221,548958,TCS
24-07-2006,224.4,229,216.9,227.3,853136,TCS
25-07-2006,230,231.9,228.1,230.9,579575,TCS
26-07-2006,232.3,236.9,229.1,236.1,738590,TCS
27-07-2006,236.9,240,234.4,237.5,924981,TCS
28-07-2006,235,243.7,231,232.1,754902,TCS
31-07-2006,233.8,241.3,232.5,234,431175,TCS
01-08-2006,215.8,234.9,215.8,233,440627,TCS
02-08-2006,231.3,235.6,230,235.1,446183,TCS
03-08-2006,235.6,238,234.3,236.2,752568,TCS
04-08-2006,240,241,235.8,237.1,668550,TCS
07-08-2006,237.8,238,232.8,234,429991,TCS
08-08-2006,235,239.5,233.8,238.7,294600,TCS
09-08-2006,237.5,243.8,235.9,241.5,513030,TCS
10-08-2006,240.3,243.8,240,241.4,569781,TCS
11-08-2006,242.5,243.5,239.3,241.9,473493,TCS
14-08-2006,243.4,243.8,239.8,241.2,430357,TCS
16-08-2006,244.8,246.1,242,243.1,951067,TCS
17-08-2006,243.8,245.8,239.5,240,624292,TCS
18-08-2006,241.3,243.1,240,242.4,450910,TCS
21-08-2006,244,244,239.3,242.3,603522,TCS
22-08-2006,243,245.8,242.5,243.9,544524,TCS
23-08-2006,244,244.7,240,240.8,624434,TCS
24-08-2006,242.5,243.7,238.3,242.6,592463,TCS
25-08-2006,242.8,244.2,241.9,243.6,652938,TCS
28-08-2006,243.8,246.3,242.1,245.3,575079,TCS
29-08-2006,246.3,248,245.8,247.5,669899,TCS
30-08-2006,247.8,248.8,245.3,246,686193,TCS
31-08-2006,246,251,246,249.5,1519214,TCS
01-09-2006,249,250.3,247.8,249.8,432182,TCS
04-09-2006,249.8,255,249.8,254.3,502623,TCS
05-09-2006,255.8,257.5,250.3,251.5,986322,TCS
06-09-2006,254.4,254.4,247.8,248.4,700108,TCS
07-09-2006,245.1,248.8,245.1,246.7,395896,TCS
08-09-2006,251.5,251.5,246.3,247.8,392641,TCS
11-09-2006,249.8,249.8,237.3,238.4,1018370,TCS
12-09-2006,238.8,245,238,244.5,458814,TCS
13-09-2006,245.8,252,245.3,250,576908,TCS
14-09-2006,252.3,254,250.5,253.4,597182,TCS
15-09-2006,253.5,253.5,249.2,250.7,589925,TCS
18-09-2006,251.8,252.8,248,249,347597,TCS
19-09-2006,249.3,255,247.6,252.5,993486,TCS
20-09-2006,252.8,258.5,248.5,257.5,673974,TCS
21-09-2006,258,264.5,254.5,263.3,1276796,TCS
22-09-2006,261.3,263.5,257.5,259.9,622161,TCS
25-09-2006,261.8,262.5,255.6,256.4,337395,TCS
26-09-2006,257.5,262.5,256.2,261.1,929252,TCS
27-09-2006,262.5,263.8,259,260.7,838185,TCS
28-09-2006,261.3,262.3,253.3,255.1,1530393,TCS
29-09-2006,255.5,258.8,255,255.5,438201,TCS
03-10-2006,258.8,258.8,252.3,253.6,408178,TCS
04-10-2006,254,254,245.8,246.9,1736907,TCS
05-10-2006,249.5,252.3,248.3,249.9,1462350,TCS
06-10-2006,250.3,251.8,247,248.6,691736,TCS
09-10-2006,246.3,252.3,245.1,250.5,386708,TCS
10-10-2006,250.8,254.5,250.8,252.9,692445,TCS
11-10-2006,257.5,269.9,257.5,261.2,1693429,TCS
12-10-2006,262.5,271.3,260.3,270.6,1263212,TCS
13-10-2006,272.4,280,270.5,275.9,1218528,TCS
16-10-2006,281.3,287.5,278.8,282.4,2431765,TCS
17-10-2006,285.5,292.4,277.5,279.2,2187304,TCS
18-10-2006,277.5,279.3,275.3,276.6,1248771,TCS
19-10-2006,276.5,278.2,270.7,273.1,775905,TCS
20-10-2006,275,275.5,271.5,272.4,532351,TCS
23-10-2006,273.7,273.7,265.4,270,331976,TCS
26-10-2006,270.3,273,268.8,269.8,1285053,TCS
27-10-2006,270.3,272.5,265.6,268.7,781602,TCS
30-10-2006,269,272,265.1,269.8,1038543,TCS
31-10-2006,270,274.7,268.8,271.8,857734,TCS
01-11-2006,274.3,276.5,270.1,270.8,477726,TCS
02-11-2006,272.5,272.5,268,270,551094,TCS
03-11-2006,271.3,272,264.5,266.7,786110,TCS
06-11-2006,266.6,267.5,264,264.9,634223,TCS
07-11-2006,268.5,271.2,265.1,266.3,804795,TCS
08-11-2006,266.3,267.7,262.8,265.8,609190,TCS
09-11-2006,267.3,268.8,263.3,265.9,841355,TCS
10-11-2006,267.5,273.7,266.3,267.2,828369,TCS
13-11-2006,267.7,270,266.5,268.9,505829,TCS
14-11-2006,270.3,277.5,270.3,276.6,1500965,TCS
15-11-2006,278.8,280.5,272.6,274.2,674510,TCS
16-11-2006,275,276.5,270.9,271.8,525422,TCS
17-11-2006,273.5,274.4,270.3,273.8,555421,TCS
20-11-2006,271.3,280.3,266.4,279.5,1293734,TCS
21-11-2006,279.1,288,278.5,287.1,1039538,TCS
22-11-2006,288.5,292.8,283.8,287,1397866,TCS
23-11-2006,289,292.4,285,286,967581,TCS
24-11-2006,287.5,289.2,284,287.5,801326,TCS
27-11-2006,287.5,291,287.5,290.2,733427,TCS
28-11-2006,287.5,289,277.8,287.5,670740,TCS
29-11-2006,290,292.2,287.5,291.1,650789,TCS
30-11-2006,293.2,301.3,291.5,299.7,1563638,TCS
01-12-2006,300,300,295.3,297.3,940535,TCS
04-12-2006,300,302.8,297.5,298.1,558523,TCS
05-12-2006,302.4,302.4,296.3,298,529119,TCS
06-12-2006,293.1,301.8,293.1,299.7,795214,TCS
07-12-2006,301.3,308.6,296.8,298.6,718218,TCS
08-12-2006,299.8,299.8,293.3,294.2,471817,TCS
11-12-2006,293.8,297.3,283.5,293.4,1069858,TCS
12-12-2006,292.5,295,276.3,280.1,1279575,TCS
13-12-2006,280.1,285.3,270.1,280.2,904305,TCS
14-12-2006,276.3,290,276.3,287.4,729006,TCS
15-12-2006,292.1,292.1,287,290.1,576429,TCS
18-12-2006,288.8,297.1,281,295.3,587856,TCS
19-12-2006,295.3,296,281.3,285.5,905907,TCS
20-12-2006,287.5,292,278.8,282.2,938915,TCS
21-12-2006,284.3,287.5,277.8,284.2,563954,TCS
22-12-2006,283.8,290,282,288.5,437504,TCS
26-12-2006,288.3,298.6,288.3,297.9,449348,TCS
27-12-2006,298.8,301.5,295.3,299,598600,TCS
28-12-2006,301.4,305,297,303,604577,TCS
29-12-2006,303.4,307.4,300.6,305.5,468617,TCS
02-01-2007,307.4,314.5,304,312.1,386265,TCS
