Date,Open,High,Low,Close,Volume,Company
03-07-2006,94.4,94.8,92.6,93.1,73641,Tata Chemicals
04-07-2006,94.8,94.8,92.2,92.2,93418,Tata Chemicals
05-07-2006,93,93,91.7,92.5,49389,Tata Chemicals
06-07-2006,91.7,95.2,91.7,93.4,221626,Tata Chemicals
07-07-2006,94.4,95.2,93.1,93.7,384766,Tata Chemicals
10-07-2006,93.9,94.6,93,93.9,68486,Tata Chemicals
11-07-2006,93.7,95.6,93.5,95.2,259563,Tata Chemicals
12-07-2006,92.6,95.7,92.6,94.9,122078,Tata Chemicals
13-07-2006,95.5,95.7,93.2,93.8,72513,Tata Chemicals
14-07-2006,92.7,93.8,91.6,92.6,91132,Tata Chemicals
17-07-2006,91.8,92.4,90.4,90.7,92296,Tata Chemicals
18-07-2006,92.5,92.6,89.4,90.1,97233,Tata Chemicals
19-07-2006,91.3,92.2,85.6,86,158746,Tata Chemicals
20-07-2006,87.7,88.6,86.8,87.4,109326,Tata Chemicals
21-07-2006,87.4,88.2,85.8,87.6,93527,Tata Chemicals
24-07-2006,87.6,87.6,83,85.8,108298,Tata Chemicals
25-07-2006,89.5,89.5,86,86.9,67223,Tata Chemicals
26-07-2006,87.6,90.3,86.7,89.8,136758,Tata Chemicals
27-07-2006,90.6,91.7,87.3,89.3,503174,Tata Chemicals
28-07-2006,90.8,92.6,87.4,87.9,172308,Tata Chemicals
31-07-2006,92.4,92.4,87.8,88.6,148688,Tata Chemicals
01-08-2006,88.6,89.5,87.9,88.6,129306,Tata Chemicals
02-08-2006,86.9,91.6,86.9,90.3,336350,Tata Chemicals
03-08-2006,90.8,91.6,88.7,89.5,236958,Tata Chemicals
04-08-2006,89.9,90.8,88.2,88.7,164013,Tata Chemicals
07-08-2006,88.6,89.9,87.8,89.5,105533,Tata Chemicals
08-08-2006,88.7,90.3,88.7,90.1,93203,Tata Chemicals
09-08-2006,90.4,93,89.9,92.6,290787,Tata Chemicals
10-08-2006,93.1,95.9,92.8,94.8,312500,Tata Chemicals
11-08-2006,101.4,101.4,94,94.8,140891,Tata Chemicals
14-08-2006,96.1,96.6,94.6,94.9,360742,Tata Chemicals
16-08-2006,96.5,96.9,94.8,95.1,268879,Tata Chemicals
17-08-2006,96.5,96.5,93.1,93.5,211412,Tata Chemicals
18-08-2006,93.7,95.2,93.3,93.6,170704,Tata Chemicals
21-08-2006,94.8,94.8,91.8,93.9,262176,Tata Chemicals
22-08-2006,94.4,95.8,94.4,95.2,223419,Tata Chemicals
23-08-2006,94.8,97.5,94.4,95.3,464044,Tata Chemicals
24-08-2006,94.8,96.4,94,96.1,284597,Tata Chemicals
25-08-2006,96.6,98.9,96.1,98,640272,Tata Chemicals
28-08-2006,99.6,99.6,97.9,98.1,239643,Tata Chemicals
29-08-2006,99.2,99.2,97.9,97.9,109145,Tata Chemicals
30-08-2006,99.2,99.9,97.8,99.3,338765,Tata Chemicals
31-08-2006,100.8,102.6,98.5,99.1,1041528,Tata Chemicals
01-09-2006,100.7,101.2,99.6,100.2,164996,Tata Chemicals
04-09-2006,100.1,102.7,100.1,102.4,461133,Tata Chemicals
05-09-2006,102.7,103.1,100.6,101.1,222673,Tata Chemicals
06-09-2006,101,102.1,100.2,101.4,211553,Tata Chemicals
07-09-2006,100.6,101,98.8,99,221384,Tata Chemicals
08-09-2006,99.2,99.8,98.5,99.4,274865,Tata Chemicals
11-09-2006,99.1,99.6,94,94.7,154033,Tata Chemicals
12-09-2006,94.9,95.6,93,95.3,118532,Tata Chemicals
13-09-2006,96.9,97,95.7,96.7,87624,Tata Chemicals
14-09-2006,98.3,98.7,97.1,98,125135,Tata Chemicals
15-09-2006,98.8,99.4,97.1,97.7,276790,Tata Chemicals
18-09-2006,98.8,99,97.5,98.1,184998,Tata Chemicals
19-09-2006,99,100.3,98.4,99.7,355840,Tata Chemicals
20-09-2006,99.6,101.9,98.8,101.4,306797,Tata Chemicals
21-09-2006,102.2,104.4,102.1,104.2,603354,Tata Chemicals
22-09-2006,104.1,104.5,102.3,103.5,242234,Tata Chemicals
25-09-2006,101.5,103.8,101.5,103,126188,Tata Chemicals
26-09-2006,101.4,103.5,101.4,101.7,79571,Tata Chemicals
27-09-2006,102.7,102.9,101.4,101.5,87795,Tata Chemicals
28-09-2006,101.9,105.8,101.9,105,602296,Tata Chemicals
29-09-2006,105,107.6,104.5,106.3,374684,Tata Chemicals
03-10-2006,107.6,108.1,105.4,106,233560,Tata Chemicals
04-10-2006,106.6,106.6,104.6,105.8,197243,Tata Chemicals
05-10-2006,106.3,107.1,105.2,105.8,106255,Tata Chemicals
06-10-2006,107.8,107.8,105.6,105.8,167184,Tata Chemicals
09-10-2006,105.6,106.7,104.1,104.5,171308,Tata Chemicals
10-10-2006,105.8,105.8,102.4,102.8,124349,Tata Chemicals
11-10-2006,102.8,103.9,100.1,100.6,136178,Tata Chemicals
12-10-2006,101.4,103.2,100.5,101.9,1030268,Tata Chemicals
13-10-2006,103.2,103.5,99.3,100.9,225290,Tata Chemicals
16-10-2006,101.4,102.2,100.1,100.9,115030,Tata Chemicals
17-10-2006,101,101.8,99.4,99.7,173564,Tata Chemicals
18-10-2006,99.3,102.1,98.9,101.5,338902,Tata Chemicals
19-10-2006,103.6,103.6,99.4,99.9,105054,Tata Chemicals
20-10-2006,99.7,101.4,97,99.1,368415,Tata Chemicals
23-10-2006,99.6,100.8,99,100.4,83253,Tata Chemicals
26-10-2006,99.2,102.5,99.2,101.3,557609,Tata Chemicals
27-10-2006,102.2,103.8,102,103.3,179933,Tata Chemicals
30-10-2006,103.6,104.2,102.3,104.1,176862,Tata Chemicals
31-10-2006,104.1,105,101.4,101.7,152614,Tata Chemicals
01-11-2006,101.9,103.6,101.9,103,248835,Tata Chemicals
02-11-2006,103.4,103.4,100.3,100.8,80545,Tata Chemicals
03-11-2006,100.5,101.8,99,100,97722,Tata Chemicals
06-11-2006,100,100.7,99.5,99.9,90566,Tata Chemicals
07-11-2006,100.5,102.5,100.1,101.6,199262,Tata Chemicals
08-11-2006,101.8,101.8,99.7,100.4,63980,Tata Chemicals
09-11-2006,100.1,101.8,100.1,101.1,92227,Tata Chemicals
