Date,Open,High,Low,Close,Volume,Company
03-07-2006,250,251.6,243.6,248,3117189,Tata communication
04-07-2006,248.4,254.3,246.5,251.2,4109579,Tata communication
05-07-2006,251.9,261.8,250.1,261,4424927,Tata communication
06-07-2006,260.6,263.7,251.3,255.3,2754333,Tata communication
07-07-2006,257.5,260.4,239.6,242,2247667,Tata communication
10-07-2006,235.8,247.9,235.8,246.6,2229750,Tata communication
11-07-2006,247.1,250.7,241.4,244,2121963,Tata communication
12-07-2006,242,248.1,237.8,246.6,1960518,Tata communication
13-07-2006,248.2,248.5,240.2,243.5,1777929,Tata communication
14-07-2006,240.7,242.8,233,238.6,1335581,Tata communication
17-07-2006,237,238.2,226.5,227.6,1603345,Tata communication
18-07-2006,228.3,230.8,217.8,219.7,1483702,Tata communication
19-07-2006,221.9,225,209.3,213,1849603,Tata communication
20-07-2006,220.3,228.1,217.9,221.7,1986926,Tata communication
21-07-2006,219.6,220.2,213.1,217.5,1397720,Tata communication
24-07-2006,215.3,225.6,210.1,221.5,1864416,Tata communication
25-07-2006,223.4,227.8,221.5,225.6,1248825,Tata communication
26-07-2006,229.2,231.9,225.2,229.3,1238034,Tata communication
27-07-2006,233.2,233.3,221.8,227.2,1819047,Tata communication
28-07-2006,232,232.5,225.2,226.6,1106577,Tata communication
31-07-2006,229.6,235.1,217.8,219.9,1781597,Tata communication
01-08-2006,217.8,227.7,215.9,226.1,1933906,Tata communication
02-08-2006,224.3,229.6,224.1,227.2,1204948,Tata communication
03-08-2006,229.5,232,225.7,229.2,1538194,Tata communication
04-08-2006,231.4,236.6,229.6,231.6,2067806,Tata communication
07-08-2006,231.4,233.9,226.8,232.8,1333066,Tata communication
08-08-2006,232.7,234.5,229.3,230.8,1132155,Tata communication
09-08-2006,230.2,235.6,228.4,234.4,1378086,Tata communication
10-08-2006,234.4,242.6,233.4,240.2,2689556,Tata communication
11-08-2006,240,244.1,236.7,238.8,1865977,Tata communication
14-08-2006,240.1,243.1,238.3,242,1144888,Tata communication
16-08-2006,245,246.6,241.1,242.4,941989,Tata communication
17-08-2006,245.1,247.6,240.7,245,1505781,Tata communication
18-08-2006,246.6,252.9,243.3,249.9,1253239,Tata communication
21-08-2006,251.3,257.5,249.1,256.6,1485205,Tata communication
22-08-2006,256.6,259.3,249.5,252.6,900668,Tata communication
23-08-2006,253.1,258.1,251.3,257.1,1141058,Tata communication
