Date,Open,High,Low,Close,Volume,Company
03-07-2006,75,77.3,75,75.7,49529,Tata Consumers
04-07-2006,76,77,75.4,76.3,74251,Tata Consumers
05-07-2006,75,77.9,74.6,76.7,116619,Tata Consumers
06-07-2006,76.9,78.1,74.8,75.5,48822,Tata Consumers
07-07-2006,76.4,78.5,75.5,76.2,235158,Tata Consumers
10-07-2006,77.9,77.9,74.8,76,66739,Tata Consumers
11-07-2006,76,77,73.9,74.4,43344,Tata Consumers
12-07-2006,72.9,75.5,71.1,74,115260,Tata Consumers
13-07-2006,73.5,75,71.3,72.1,129331,Tata Consumers
14-07-2006,72.1,73.1,70.5,72.7,173818,Tata Consumers
17-07-2006,71.5,72.9,69.7,70.6,103769,Tata Consumers
18-07-2006,70.5,73.6,70.5,72.5,74427,Tata Consumers
19-07-2006,74.5,74.5,70,70.6,78476,Tata Consumers
20-07-2006,72.5,75,71.5,74.6,121444,Tata Consumers
21-07-2006,73.5,73.5,70.5,72.6,61815,Tata Consumers
24-07-2006,71.5,74.3,70.3,74,58622,Tata Consumers
25-07-2006,74,74.5,72.5,73.5,44213,Tata Consumers
26-07-2006,74,75.9,73.2,75.4,111795,Tata Consumers
27-07-2006,75.6,80,75.6,79.2,452458,Tata Consumers
28-07-2006,79.8,81.7,78.2,81.1,204342,Tata Consumers
31-07-2006,82,84.2,82,83.3,154132,Tata Consumers
01-08-2006,82.1,83.8,80.5,82.7,140218,Tata Consumers
02-08-2006,82.1,85.1,82.1,84.8,144298,Tata Consumers
03-08-2006,82.1,85.4,82.1,83.6,156291,Tata Consumers
04-08-2006,83.8,84.5,81,81.5,162947,Tata Consumers
07-08-2006,81.3,83.9,80.3,83.4,116391,Tata Consumers
08-08-2006,84.2,84.6,82,83.1,234841,Tata Consumers
09-08-2006,83.4,85.2,83.1,84.8,264625,Tata Consumers
10-08-2006,84.9,87.5,84.8,87.3,242564,Tata Consumers
11-08-2006,88,89.5,86,86.8,219169,Tata Consumers
14-08-2006,86.5,87.9,86.3,86.9,120356,Tata Consumers
16-08-2006,87,88.5,85.2,85.6,290809,Tata Consumers
17-08-2006,86,86.5,83.6,84.1,368512,Tata Consumers
18-08-2006,84.5,85.2,83.9,84.5,139623,Tata Consumers
21-08-2006,85,85.1,83.5,84.6,214938,Tata Consumers
22-08-2006,80.5,87,80.5,84.6,167047,Tata Consumers
23-08-2006,84.4,84.6,82,82.8,105395,Tata Consumers
24-08-2006,85,98.9,82.8,83.2,1002909,Tata Consumers
25-08-2006,83.4,85,82.1,82.9,375024,Tata Consumers
28-08-2006,83.5,84.5,83,83.7,387783,Tata Consumers
29-08-2006,84.4,84.4,82.8,82.9,319997,Tata Consumers
30-08-2006,82.6,83.7,81.6,82.2,285700,Tata Consumers
31-08-2006,82.9,82.9,79.5,79.9,625885,Tata Consumers
01-09-2006,80.7,82.2,80,81.9,289170,Tata Consumers
04-09-2006,82.5,82.5,79.5,79.7,822734,Tata Consumers
05-09-2006,80.4,80.9,79.3,79.7,670869,Tata Consumers
06-09-2006,80.6,82.1,80,81.8,806591,Tata Consumers
07-09-2006,82,82.5,80.3,80.5,662486,Tata Consumers
08-09-2006,81,81.2,80.3,80.5,557264,Tata Consumers
11-09-2006,81,81,74.9,75.7,678395,Tata Consumers
12-09-2006,79.5,79.5,73.9,75.5,494183,Tata Consumers
13-09-2006,76.2,77,75.7,76.1,436404,Tata Consumers
14-09-2006,77,79,76.4,76.7,235394,Tata Consumers
15-09-2006,77,77.5,75.7,76.4,196741,Tata Consumers
18-09-2006,76.8,77.1,75.4,75.8,239468,Tata Consumers
19-09-2006,76.3,76.4,74.2,74.8,289158,Tata Consumers
20-09-2006,75.2,77.6,74,75.2,234833,Tata Consumers
21-09-2006,75.2,76,74.4,75,224876,Tata Consumers
22-09-2006,75,75.4,73.9,74.2,283688,Tata Consumers
25-09-2006,75.5,75.5,74.1,74.6,162358,Tata Consumers
26-09-2006,74.6,75,74,74.3,118200,Tata Consumers
27-09-2006,74.9,75.2,73.8,74,133022,Tata Consumers
28-09-2006,74,74.4,73,73.7,444115,Tata Consumers
29-09-2006,74.8,75.9,74,75,204846,Tata Consumers
03-10-2006,75.2,75.8,74.5,74.9,113301,Tata Consumers
04-10-2006,75.7,75.7,73.5,73.7,109035,Tata Consumers
05-10-2006,74.5,75,73.3,73.7,288639,Tata Consumers
06-10-2006,74.9,75,73.3,73.5,261742,Tata Consumers
09-10-2006,74.9,74.9,72.9,73.2,247376,Tata Consumers
10-10-2006,73.9,74.4,73.2,73.9,279581,Tata Consumers
11-10-2006,74,75.2,72.8,73,234134,Tata Consumers
12-10-2006,73,74.9,73,74.5,311365,Tata Consumers
13-10-2006,75.4,75.4,74.1,75,135810,Tata Consumers
16-10-2006,75.4,76,75.1,75.6,415595,Tata Consumers
17-10-2006,75.8,76,74.7,75.8,158674,Tata Consumers
18-10-2006,75.6,76.6,75.5,76.1,223706,Tata Consumers
19-10-2006,76.3,76.5,74.6,74.9,79393,Tata Consumers
20-10-2006,74.8,76.2,74.8,75.1,93049,Tata Consumers
23-10-2006,76.5,76.5,75.1,75.4,50756,Tata Consumers
26-10-2006,75.5,75.8,73.8,74.3,427329,Tata Consumers
27-10-2006,75.5,75.6,74.6,75.2,365029,Tata Consumers
30-10-2006,75.5,75.9,74.6,75.2,71596,Tata Consumers
31-10-2006,75.7,77.8,73.5,76.6,284485,Tata Consumers
01-11-2006,77.5,77.8,75.7,76,182137,Tata Consumers
02-11-2006,76,76.8,74,75.8,113418,Tata Consumers
03-11-2006,75.5,76.2,74.5,74.7,113812,Tata Consumers
06-11-2006,75.4,75.4,73.9,74.2,305985,Tata Consumers
07-11-2006,75,75.3,73,73.4,266734,Tata Consumers
08-11-2006,73.5,74.4,73,73.3,304823,Tata Consumers
09-11-2006,73.8,74.5,73.3,73.8,153084,Tata Consumers
10-11-2006,73.8,74,73.5,73.7,159744,Tata Consumers
13-11-2006,73.7,74,73.4,73.7,101208,Tata Consumers
14-11-2006,73.9,74.8,73.4,74.4,147246,Tata Consumers
15-11-2006,75,75.2,73.5,73.7,183447,Tata Consumers
16-11-2006,74,74.1,72.8,73,201010,Tata Consumers
17-11-2006,73.5,73.5,70.6,70.9,177153,Tata Consumers
20-11-2006,70.9,70.9,69.5,70.1,198187,Tata Consumers
21-11-2006,70.1,71.6,69.9,70.4,360409,Tata Consumers
22-11-2006,71.5,72.3,71.1,71.7,134249,Tata Consumers
23-11-2006,72.5,73.7,71.9,73.2,240907,Tata Consumers
24-11-2006,73.2,74.2,72,73.7,105818,Tata Consumers
27-11-2006,73.9,74.2,73.7,73.7,60460,Tata Consumers
28-11-2006,73.4,74.2,72,74,124300,Tata Consumers
29-11-2006,74.4,74.4,73.1,73.6,72406,Tata Consumers
30-11-2006,73.6,74.1,71,71.8,397705,Tata Consumers
01-12-2006,72.9,73,72,72.7,57737,Tata Consumers
