Date,Open,High,Low,Close,Volume,Company
03-07-2006,153.1,153.8,149,150.4,1779994,Tata Motors
04-07-2006,151.8,154.8,151.8,152.3,2093093,Tata Motors
05-07-2006,151.8,153.7,150.1,153,2323606,Tata Motors
06-07-2006,152.4,154.2,150.3,152.4,1827491,Tata Motors
07-07-2006,153.7,154.5,145.9,147.2,1556803,Tata Motors
10-07-2006,148.4,151.2,145,150.3,1347759,Tata Motors
11-07-2006,150.6,150.6,143.7,144.5,1956861,Tata Motors
12-07-2006,143.7,147.6,141,147.1,2277345,Tata Motors
13-07-2006,147.1,147.6,144.4,147,1624853,Tata Motors
14-07-2006,145.1,145.1,140.4,141.2,1801494,Tata Motors
17-07-2006,141.3,141.3,131.9,132.8,1618162,Tata Motors
18-07-2006,133.7,135.6,130.4,131.6,2329313,Tata Motors
19-07-2006,133.5,133.7,125.1,125.9,2235322,Tata Motors
20-07-2006,128,133.6,128,131.5,2842152,Tata Motors
21-07-2006,130.8,137.5,127,128.4,1089247,Tata Motors
24-07-2006,127,131.4,124.5,130.7,1467935,Tata Motors
25-07-2006,132.9,135.1,131.8,134,2754561,Tata Motors
26-07-2006,134.6,140,134.6,139.2,3102633,Tata Motors
27-07-2006,139,142,137.8,141.1,2412462,Tata Motors
28-07-2006,141.3,143,137.1,139.1,1920177,Tata Motors
31-07-2006,140.7,143,140.4,141.7,876664,Tata Motors
01-08-2006,140.4,141.3,137.5,139.7,946369,Tata Motors
02-08-2006,141,145.2,140,144.8,1289196,Tata Motors
03-08-2006,148,150.7,145.1,146.8,2368411,Tata Motors
04-08-2006,147.6,148.7,143.9,144.9,909222,Tata Motors
07-08-2006,146,146.4,142.7,143.1,1320381,Tata Motors
08-08-2006,143.2,147,143.2,146.5,681663,Tata Motors
09-08-2006,143.1,153,141.7,151.5,2144165,Tata Motors
10-08-2006,151.2,152.2,149,150.7,1229654,Tata Motors
11-08-2006,151.2,154.9,150.5,150.8,1864347,Tata Motors
14-08-2006,152,153.5,151.1,152.9,927100,Tata Motors
16-08-2006,154.6,157.5,154.1,156.1,1238943,Tata Motors
17-08-2006,157,160.8,156.4,159.9,2441243,Tata Motors
18-08-2006,160.4,163.6,159.4,162.3,2942792,Tata Motors
21-08-2006,162.3,164.8,160.3,163.9,1806613,Tata Motors
22-08-2006,163.3,165.2,160.4,161.4,1290518,Tata Motors
23-08-2006,161.2,163.4,160.4,161.8,2210818,Tata Motors
24-08-2006,162.1,165,160.1,164.2,2368051,Tata Motors
25-08-2006,164.2,165.7,161.7,162.7,1212017,Tata Motors
28-08-2006,160.8,164.2,160.8,162.7,566957,Tata Motors
29-08-2006,166.3,166.3,160.9,161.4,808599,Tata Motors
30-08-2006,161.4,164.2,161.4,163.1,836823,Tata Motors
31-08-2006,162.9,164.8,159.9,161.5,1867247,Tata Motors
01-09-2006,161.2,165.9,161,164.8,1222342,Tata Motors
04-09-2006,166.1,171.7,166.1,171.3,1424404,Tata Motors
05-09-2006,171.7,171.9,168.2,169.3,1013330,Tata Motors
06-09-2006,169.9,171.3,168.6,169.2,894018,Tata Motors
07-09-2006,168.6,171.8,168,171.4,1397757,Tata Motors
08-09-2006,171.7,173,170.6,171.8,1577989,Tata Motors
11-09-2006,172,172.2,159.5,161.8,1836982,Tata Motors
12-09-2006,154.9,164,154.9,163,1578971,Tata Motors
13-09-2006,163.6,167.9,163.6,166.2,1397641,Tata Motors
14-09-2006,166.1,168,164.5,165.2,970716,Tata Motors
15-09-2006,165.6,167.1,163.7,166.1,948337,Tata Motors
18-09-2006,166.1,166.9,163.7,164.3,765606,Tata Motors
19-09-2006,164.2,165.1,157.4,158.8,1301481,Tata Motors
20-09-2006,158.4,161.4,157,160.8,2019678,Tata Motors
21-09-2006,166.1,166.1,160.1,161.8,1185111,Tata Motors
22-09-2006,161.7,161.7,159.1,159.6,1582121,Tata Motors
25-09-2006,160,163.7,160,161.9,1888088,Tata Motors
26-09-2006,162.3,164.1,161.6,163.8,1406112,Tata Motors
27-09-2006,164.2,165.5,162.3,162.7,861323,Tata Motors
28-09-2006,164.1,164.1,160,160.7,1515740,Tata Motors
29-09-2006,160.9,165.4,160.9,164.5,1159360,Tata Motors
03-10-2006,164.5,167.4,163.3,166.1,1457113,Tata Motors
04-10-2006,166.5,169.1,166.2,168.1,2843177,Tata Motors
05-10-2006,168.6,172.2,168.6,170.7,2123438,Tata Motors
06-10-2006,170.9,171.7,169,170.6,661402,Tata Motors
09-10-2006,170.3,172.8,162.3,172,946326,Tata Motors
10-10-2006,173.2,174.7,173.2,173.8,837034,Tata Motors
11-10-2006,173.5,175,166.9,168.2,881939,Tata Motors
12-10-2006,169.2,173.1,168.2,172.3,730506,Tata Motors
13-10-2006,173,175.2,171.4,174.2,999228,Tata Motors
16-10-2006,174.7,175.8,172,172.8,832336,Tata Motors
17-10-2006,168.5,174.1,168.5,171.7,631694,Tata Motors
18-10-2006,171.9,173.8,168.9,169.5,1144420,Tata Motors
19-10-2006,171.3,171.3,168.3,169.8,588619,Tata Motors
20-10-2006,170.7,172.2,168.4,169.7,363933,Tata Motors
23-10-2006,169,170.7,167.5,167.9,415813,Tata Motors
26-10-2006,169.4,169.5,165.4,166.4,785483,Tata Motors
27-10-2006,167.6,170.1,167.6,169.3,881330,Tata Motors
30-10-2006,170.5,171.8,160.4,162.2,2624191,Tata Motors
31-10-2006,162.1,162.3,157.3,158.1,2964777,Tata Motors
01-11-2006,158.5,160.5,157.5,158.3,1543130,Tata Motors
02-11-2006,158.9,161.3,158.1,158.4,2098080,Tata Motors
03-11-2006,158.9,159.8,154.1,155.7,2557421,Tata Motors
06-11-2006,156,156.9,154.5,155.8,2413589,Tata Motors
07-11-2006,156.6,158.7,155.9,156.3,1421256,Tata Motors
08-11-2006,157.5,157.5,151.3,153.2,1885432,Tata Motors
09-11-2006,154.7,155.2,151.4,153.4,2172452,Tata Motors
10-11-2006,153.7,156.9,152.2,156.2,2302595,Tata Motors
13-11-2006,157.3,159.4,156.8,159.2,1352026,Tata Motors
14-11-2006,160.4,160.4,156.3,158.4,1085563,Tata Motors
15-11-2006,158.5,159.4,156.6,157.3,874395,Tata Motors
16-11-2006,157.9,158.9,154.7,155.5,1169114,Tata Motors
17-11-2006,155.7,157.5,153.9,154.8,1398497,Tata Motors
20-11-2006,154.9,154.9,150.5,153.2,1676016,Tata Motors
21-11-2006,154.1,156.9,153.6,156,640266,Tata Motors
22-11-2006,155.6,159.4,155.6,159,1204557,Tata Motors
23-11-2006,159.6,161,156.2,157,1444901,Tata Motors
24-11-2006,157.5,158.7,156.3,157.6,655721,Tata Motors
27-11-2006,158.4,159.4,157.5,158.2,451052,Tata Motors
28-11-2006,157.5,157.5,154.1,154.7,1509467,Tata Motors
29-11-2006,156.2,157,153.3,154.7,1291642,Tata Motors
30-11-2006,155.6,156.6,154.1,154.5,1428450,Tata Motors
01-12-2006,172.4,172.4,154.7,160.9,1916514,Tata Motors
04-12-2006,161.5,169.9,161.5,168.5,3543460,Tata Motors
05-12-2006,169.6,170.3,166.7,168.6,1283894,Tata Motors
06-12-2006,166.5,169.6,165,168.3,924208,Tata Motors
07-12-2006,168,171.1,166.7,170.5,759474,Tata Motors
08-12-2006,169.9,170.7,164.8,165.5,1125416,Tata Motors
11-12-2006,166.1,166.1,155.6,160.3,1225367,Tata Motors
12-12-2006,160.2,162.5,144.2,156.6,2283631,Tata Motors
13-12-2006,158.8,163.3,153.1,160.6,1333217,Tata Motors
14-12-2006,160.9,164,159.7,162,934210,Tata Motors
15-12-2006,163.8,165.4,162.9,163.9,767125,Tata Motors
18-12-2006,164.4,170.9,158.7,170.5,1969061,Tata Motors
19-12-2006,170.4,171.1,161.9,164.5,1456447,Tata Motors
20-12-2006,164.8,168.2,158.2,159.7,2070195,Tata Motors
21-12-2006,159.4,165.9,159.4,165,937126,Tata Motors
22-12-2006,161.7,165.2,161.7,164.2,564972,Tata Motors
26-12-2006,166.1,170.2,162.7,168.9,982504,Tata Motors
27-12-2006,169.2,174.3,167.1,173.1,1571309,Tata Motors
28-12-2006,173.8,176.6,171.1,172.4,1843612,Tata Motors
29-12-2006,173.8,174.5,170,172,816820,Tata Motors
02-01-2007,172.3,178.3,170.9,177.5,842735,Tata Motors
03-01-2007,178.5,183.7,178.5,179.2,2327705,Tata Motors
04-01-2007,187.1,188.7,179.7,180.9,1770595,Tata Motors
05-01-2007,181.4,182.4,177.5,179,1452192,Tata Motors
08-01-2007,178.5,180.2,171.9,177.3,1561609,Tata Motors
09-01-2007,177.4,178.3,172.2,174,1154313,Tata Motors
10-01-2007,173.6,175.5,170.9,173.5,1716360,Tata Motors
11-01-2007,173.8,176.1,172.2,175.4,1197103,Tata Motors
12-01-2007,175.9,180.4,174.4,179.7,1635330,Tata Motors
15-01-2007,181.4,181.8,178.2,181.1,956570,Tata Motors
16-01-2007,181.4,183.6,180.6,182.8,862709,Tata Motors
17-01-2007,184.2,186.1,180.8,184.2,1194707,Tata Motors
18-01-2007,186.2,186.2,180,182.3,945914,Tata Motors
19-01-2007,182.9,184.2,177.6,181.5,1434597,Tata Motors
22-01-2007,182.4,185,179.5,183.9,1802014,Tata Motors
23-01-2007,184.3,185.2,180.5,181.5,610811,Tata Motors
24-01-2007,182.4,183.1,173.1,174.9,2010579,Tata Motors
25-01-2007,182.2,185,174.7,177.1,1451379,Tata Motors
29-01-2007,177,177.4,171.1,171.8,1156190,Tata Motors
31-01-2007,173.8,177.6,165.7,167.7,1306794,Tata Motors
01-02-2007,169.7,173.8,168.6,173.1,629770,Tata Motors
02-02-2007,175.6,176.2,172.6,173.7,862102,Tata Motors
05-02-2007,174.5,176.2,170.9,175.5,936178,Tata Motors
06-02-2007,176.2,177.2,173.4,175.7,605656,Tata Motors
07-02-2007,175.8,176,171.3,172.3,899022,Tata Motors
08-02-2007,174.1,177.6,170.2,171.2,750050,Tata Motors
09-02-2007,171.2,174,169,172.8,878416,Tata Motors
12-02-2007,177.6,177.6,164.8,167.1,1706697,Tata Motors
13-02-2007,166.9,172.4,162.3,165.5,1147134,Tata Motors
14-02-2007,166.9,166.9,159.1,162.3,2744781,Tata Motors
15-02-2007,166.1,169.9,162.7,166,2131251,Tata Motors
19-02-2007,168,169.8,165.2,166.1,576428,Tata Motors
20-02-2007,165.9,166.7,162.3,163.5,632946,Tata Motors
21-02-2007,163.5,166.5,162.7,164,878487,Tata Motors
22-02-2007,164.2,165.4,157.9,159.4,1471947,Tata Motors
23-02-2007,161.5,161.5,151.8,156,1712652,Tata Motors
26-02-2007,156.6,162.1,152,160.3,979335,Tata Motors
27-02-2007,161.1,162.1,155.7,157.2,609018,Tata Motors
28-02-2007,152.8,154.7,144.2,149.4,2017639,Tata Motors
01-03-2007,153,155.4,146.5,150.7,1990505,Tata Motors
02-03-2007,151.8,151.8,147.6,148.1,1607371,Tata Motors
05-03-2007,147.8,148.8,139,141.3,2075918,Tata Motors
06-03-2007,142.5,146.6,136.9,138.7,2885063,Tata Motors
07-03-2007,142.7,146.7,136,141,2325282,Tata Motors
08-03-2007,143.2,148,142.3,146.4,2146063,Tata Motors
09-03-2007,148,149.4,142.3,144.6,1107617,Tata Motors
12-03-2007,144.6,147.8,144.3,146,995086,Tata Motors
13-03-2007,146.3,148.7,144.6,147.6,705875,Tata Motors
14-03-2007,138,145.1,135.3,142,1676070,Tata Motors
15-03-2007,143.2,145.6,138.1,138.6,996502,Tata Motors
16-03-2007,139.6,143.8,139.6,142.9,1075918,Tata Motors
19-03-2007,143.4,148,142.8,147.4,622531,Tata Motors
20-03-2007,147.8,149.1,145.2,146.9,990960,Tata Motors
21-03-2007,147.4,148.7,145.2,148.1,1237288,Tata Motors
22-03-2007,149.1,154.9,148.8,153.7,1291689,Tata Motors
23-03-2007,153.9,153.9,149.7,150.8,1246165,Tata Motors
26-03-2007,142.3,151,142.3,143.7,2461128,Tata Motors
28-03-2007,143.2,143.4,136.7,137.4,2554496,Tata Motors
29-03-2007,139.2,142.9,133.4,136.8,4127404,Tata Motors
30-03-2007,138.1,140,136.8,139.1,1309380,Tata Motors
02-04-2007,135.8,135.8,126.2,128.1,3020164,Tata Motors
03-04-2007,129.8,131,128.1,130.1,2056475,Tata Motors
04-04-2007,131,131.9,127.8,130.4,2000265,Tata Motors
05-04-2007,129.8,132.7,129.7,131,2290205,Tata Motors
09-04-2007,131.8,135.5,131.8,134.4,1297707,Tata Motors
10-04-2007,135.9,138.6,135.2,137.8,2079862,Tata Motors
11-04-2007,137.8,139.6,136.3,138,1441891,Tata Motors
12-04-2007,137.3,137.3,135,136,1372051,Tata Motors
13-04-2007,136.4,138.9,134.4,138.7,1654733,Tata Motors
16-04-2007,140.4,144.2,139.4,143.3,1307430,Tata Motors
17-04-2007,143.4,145.4,139,139.5,2466809,Tata Motors
18-04-2007,135.8,141.5,135.8,138,701215,Tata Motors
19-04-2007,136.9,137.9,134.5,136.2,1525848,Tata Motors
20-04-2007,137.9,140.1,137.5,138,1090493,Tata Motors
23-04-2007,139.3,140.1,136.5,137.1,1016983,Tata Motors
24-04-2007,139.2,144,138.5,141.6,2088888,Tata Motors
25-04-2007,143.2,146.5,143.2,144.9,2270158,Tata Motors
26-04-2007,148.4,150.8,142.7,146.4,2118220,Tata Motors
27-04-2007,146.7,147.9,141.1,143.1,1906364,Tata Motors
30-04-2007,141.3,145.3,139.8,143.5,1427868,Tata Motors
03-05-2007,148.9,148.9,139.2,140,2198203,Tata Motors
04-05-2007,140.2,142.2,138.6,139.7,1367030,Tata Motors
07-05-2007,140.4,141.9,137.2,139.1,1813852,Tata Motors
08-05-2007,139.1,140.4,137.5,138.5,719162,Tata Motors
09-05-2007,139.4,139.7,136.2,138.1,1187896,Tata Motors
10-05-2007,139,140.1,136,136.5,991063,Tata Motors
11-05-2007,136.2,137.6,131.8,136.7,1500687,Tata Motors
14-05-2007,139.1,139.4,135.4,136.6,1051991,Tata Motors
15-05-2007,137.1,137.5,136.2,136.4,653654,Tata Motors
16-05-2007,136.5,140.9,136.5,140.3,987118,Tata Motors
17-05-2007,144.1,144.5,140.7,143.3,1540682,Tata Motors
18-05-2007,143.6,144.6,141.3,141.6,1459884,Tata Motors
21-05-2007,141.5,142.3,138.1,138.5,2350294,Tata Motors
22-05-2007,138.8,142,138.3,138.8,1774170,Tata Motors
23-05-2007,123.7,140.1,123.7,135.2,2043968,Tata Motors
24-05-2007,135,136.9,134.7,136.1,999539,Tata Motors
25-05-2007,135.2,139.2,134.3,138.8,1007529,Tata Motors
28-05-2007,139.4,141.5,139.1,139.9,1055061,Tata Motors
29-05-2007,140.4,142.1,139.4,141.5,1579781,Tata Motors
30-05-2007,142.4,142.4,140.5,141.7,922817,Tata Motors
31-05-2007,142.1,146,141.7,144.3,2388484,Tata Motors
01-06-2007,143.9,145.1,141.7,142.8,1443653,Tata Motors
04-06-2007,142.3,142.3,135.1,135.7,2342020,Tata Motors
05-06-2007,136.5,137.7,135.1,135.7,1486281,Tata Motors
06-06-2007,134.6,135.6,125.3,131.4,2400604,Tata Motors
07-06-2007,129.1,135.5,128.4,129.4,1209569,Tata Motors
08-06-2007,129.4,129.4,123.5,124.5,3325601,Tata Motors
11-06-2007,129.1,129.1,123.4,124.7,1422542,Tata Motors
12-06-2007,109.8,125.8,109.8,122.4,1668547,Tata Motors
13-06-2007,123.2,125.5,122.6,123.2,1732048,Tata Motors
14-06-2007,127,127,121.9,122.6,2997281,Tata Motors
15-06-2007,123.5,130.8,123.2,124.2,1780696,Tata Motors
18-06-2007,125.6,125.6,122.8,123.2,2341421,Tata Motors
19-06-2007,123,127,123,126.7,1341708,Tata Motors
20-06-2007,127.2,131.8,127.2,131.1,2121304,Tata Motors
21-06-2007,132.7,133.3,130.3,131.3,2370970,Tata Motors
22-06-2007,130.2,131.3,126.6,130.7,1211030,Tata Motors
25-06-2007,130.8,131.9,128.5,129.5,479764,Tata Motors
26-06-2007,129.5,131.4,128.1,130.7,677033,Tata Motors
27-06-2007,130.5,130.9,127.2,128.3,741039,Tata Motors
28-06-2007,128.6,129.1,126,126.9,1656289,Tata Motors
29-06-2007,127.2,128.9,127.2,128,661906,Tata Motors
02-07-2007,127.8,131.3,127.2,130.3,934528,Tata Motors
03-07-2007,130.6,132.7,129.1,131,1800352,Tata Motors
04-07-2007,132.5,135.1,131.2,133.9,1296811,Tata Motors
05-07-2007,133.7,136.1,132.8,135.5,1074664,Tata Motors
06-07-2007,135.4,137.1,132.8,135.8,1425392,Tata Motors
09-07-2007,135.8,138,135.8,136.8,818333,Tata Motors
10-07-2007,137.5,142.6,137.5,141.9,2128957,Tata Motors
11-07-2007,141.7,141.9,138.9,140.6,902873,Tata Motors
12-07-2007,140.6,142.3,138.8,141.3,1377694,Tata Motors
13-07-2007,143,147.4,141.9,146.5,2187188,Tata Motors
16-07-2007,150.1,150.1,143.5,145,2327119,Tata Motors
17-07-2007,145,146.5,142.3,143,1217484,Tata Motors
18-07-2007,143.2,144.2,139.7,141.9,895947,Tata Motors
19-07-2007,143.2,149.9,141.9,148.3,1638752,Tata Motors
20-07-2007,158.5,158.5,145.1,146.6,1815534,Tata Motors
23-07-2007,147,148.9,144.4,146.4,1137927,Tata Motors
24-07-2007,146.8,148.8,142.3,142.7,698349,Tata Motors
25-07-2007,142.7,142.7,138,138.6,1332282,Tata Motors
26-07-2007,139.6,145.6,137.1,139.7,3215620,Tata Motors
27-07-2007,140.4,140.4,132.7,133.5,1595272,Tata Motors
30-07-2007,137.6,137.6,132.9,135.1,1017540,Tata Motors
31-07-2007,134.8,137.3,130.9,133.6,2880301,Tata Motors
01-08-2007,131.6,131.6,126.2,127.4,1397491,Tata Motors
02-08-2007,127,129.4,123.5,124.5,2487936,Tata Motors
03-08-2007,128.5,128.5,124.9,125.3,1524285,Tata Motors
06-08-2007,124.1,125.1,120.5,123.9,1155849,Tata Motors
07-08-2007,125.1,127.4,125.1,125.6,966418,Tata Motors
08-08-2007,127,128,125.5,125.8,1403514,Tata Motors
09-08-2007,126.8,129.8,125.9,126.7,1378309,Tata Motors
10-08-2007,123.9,128.4,123.9,127.8,731935,Tata Motors
13-08-2007,128.9,132.9,128,132.2,1216947,Tata Motors
14-08-2007,132.9,133.4,130,132,871646,Tata Motors
16-08-2007,126.2,128.7,124.1,126.1,792462,Tata Motors
17-08-2007,126.1,127.7,121.9,122.4,2121937,Tata Motors
20-08-2007,126,127.4,123,124.1,2053269,Tata Motors
21-08-2007,124.1,125.1,119.9,121.1,2059747,Tata Motors
22-08-2007,120.9,122.7,117.6,118.3,2499153,Tata Motors
23-08-2007,120.3,122.6,117.1,118.5,2335631,Tata Motors
24-08-2007,119.9,126.8,119.9,125.4,1163631,Tata Motors
27-08-2007,127.1,130.2,127.1,129,873763,Tata Motors
28-08-2007,129.7,129.7,125.3,126.6,1230767,Tata Motors
29-08-2007,126,129.4,123.2,128.7,2759937,Tata Motors
30-08-2007,129.9,133.5,128.7,130,3138153,Tata Motors
31-08-2007,129.8,135.8,129.8,134,1640588,Tata Motors
03-09-2007,134.4,135.4,132.2,134.2,956895,Tata Motors
04-09-2007,133.7,135.2,130.2,132,1408049,Tata Motors
05-09-2007,133.7,136.1,131.2,133.4,1369426,Tata Motors
06-09-2007,133.9,136.9,131.8,136,961926,Tata Motors
07-09-2007,136.3,137.1,132.2,132.7,766734,Tata Motors
10-09-2007,131.1,134.6,130.1,134.2,772684,Tata Motors
11-09-2007,134.4,134.5,131.1,131.6,664373,Tata Motors
12-09-2007,132.1,133.5,130,130.8,872018,Tata Motors
13-09-2007,130.8,133.5,130.7,132.7,675746,Tata Motors
14-09-2007,133.9,134.6,131.6,132.5,662001,Tata Motors
17-09-2007,133.3,133.3,131.5,132.7,591344,Tata Motors
18-09-2007,133.3,133.9,132.2,132.9,408373,Tata Motors
19-09-2007,134.2,140.3,133.7,137.6,1361814,Tata Motors
20-09-2007,139.2,142.8,138.3,139.6,1293944,Tata Motors
21-09-2007,137.5,142.6,137.5,141.5,1008557,Tata Motors
24-09-2007,143.2,144.2,140.9,142.7,927479,Tata Motors
25-09-2007,142.7,142.8,140,141.5,948362,Tata Motors
26-09-2007,141.5,142.6,137.8,141.3,654575,Tata Motors
27-09-2007,142.6,145.3,141.3,143.5,3085126,Tata Motors
28-09-2007,144.2,157,141.7,148.4,2676078,Tata Motors
01-10-2007,154.1,154.1,146.1,147.7,1510765,Tata Motors
03-10-2007,148.6,154.6,143.6,150.5,1684130,Tata Motors
04-10-2007,152.8,154.2,148.4,152.7,1844696,Tata Motors
05-10-2007,152.7,152.8,147,148.8,915089,Tata Motors
08-10-2007,149,150.3,142.3,146,2919078,Tata Motors
09-10-2007,142.3,152.8,142.3,152,1085388,Tata Motors
10-10-2007,147.7,156.4,147.7,154,1144037,Tata Motors
11-10-2007,154.9,160.8,152.8,158.6,1556887,Tata Motors
12-10-2007,158.5,160.2,150.7,153.4,1679437,Tata Motors
15-10-2007,154.1,157.5,154.1,156.3,837321,Tata Motors
16-10-2007,159.8,159.8,153.7,156.7,796354,Tata Motors
17-10-2007,148.3,155.6,141.5,154.1,1474999,Tata Motors
18-10-2007,153,156.9,144.2,151.1,1820186,Tata Motors
19-10-2007,148.9,153,144.8,149.9,808891,Tata Motors
22-10-2007,148.8,149.7,145.1,147.6,886375,Tata Motors
23-10-2007,149.1,154.4,149.1,151.9,1456318,Tata Motors
24-10-2007,152.6,153.7,147,147.9,1783537,Tata Motors
25-10-2007,149.7,156,148,152.9,1089544,Tata Motors
26-10-2007,152.7,155.6,148,153.7,1050940,Tata Motors
29-10-2007,156,159.8,153,154.1,1246489,Tata Motors
30-10-2007,154.7,156,144.4,146.6,2591373,Tata Motors
31-10-2007,146.5,153.9,143.2,144.7,3034131,Tata Motors
01-11-2007,147,147.4,141.1,142.6,1679080,Tata Motors
02-11-2007,139.4,144.9,138.4,144.1,629420,Tata Motors
05-11-2007,143.2,143.2,140.4,141.3,1102483,Tata Motors
06-11-2007,141.3,142.2,136.8,137.4,658672,Tata Motors
07-11-2007,137.5,140.3,135.6,137.5,709701,Tata Motors
08-11-2007,136.5,138.4,134.5,135.1,431144,Tata Motors
09-11-2007,137.2,137.2,131.2,132.7,95986,Tata Motors
12-11-2007,131.2,132.6,128.9,130.7,641023,Tata Motors
13-11-2007,131.8,134.7,128.5,132.4,806150,Tata Motors
14-11-2007,133.7,139.7,133.7,135.1,594977,Tata Motors
15-11-2007,134.6,137.2,132.8,133.5,587750,Tata Motors
16-11-2007,130.8,135.8,130.8,133.1,1025123,Tata Motors
19-11-2007,133.1,136.5,133.1,134.3,506781,Tata Motors
20-11-2007,132.7,137.1,132.3,135.3,1210545,Tata Motors
21-11-2007,136.5,136.5,131,132,635570,Tata Motors
22-11-2007,131.8,133.9,129.5,132.6,912475,Tata Motors
23-11-2007,134.1,138.2,133.4,136.4,812063,Tata Motors
26-11-2007,137.5,139,134.6,135.9,714885,Tata Motors
27-11-2007,135.8,138,134.8,137.4,1151349,Tata Motors
28-11-2007,137.5,138.6,136.3,137.7,706459,Tata Motors
29-11-2007,138.8,141.9,136.3,137.1,2029084,Tata Motors
30-11-2007,138.3,142.1,136.3,139.9,1446036,Tata Motors
03-12-2007,140.5,143,140,140.6,481721,Tata Motors
04-12-2007,140.7,142.5,139.1,141.6,631272,Tata Motors
05-12-2007,142.1,149.7,142.1,147.5,1410714,Tata Motors
06-12-2007,148.1,149.3,145.7,148.1,807793,Tata Motors
07-12-2007,148,149.3,145.2,146.5,1128220,Tata Motors
10-12-2007,147.4,148.5,142.3,146.4,521361,Tata Motors
11-12-2007,147,148.4,145.3,148,676097,Tata Motors
12-12-2007,148.4,148.9,145.5,147,665743,Tata Motors
13-12-2007,146.1,150.4,143.2,145.7,1144862,Tata Motors
14-12-2007,145.1,145.9,140.9,142.2,901506,Tata Motors
17-12-2007,142,143.2,131.8,134,1270727,Tata Motors
19-12-2007,136.7,137,130.1,131.9,1652079,Tata Motors
20-12-2007,132.1,136.5,132.1,135.6,1326200,Tata Motors
24-12-2007,138.8,140.1,136.9,139.5,493832,Tata Motors
26-12-2007,140.5,144.3,139.4,143.6,737559,Tata Motors
27-12-2007,144.4,145.1,139.7,140.7,1098866,Tata Motors
28-12-2007,139.8,141.2,131.4,139.3,757259,Tata Motors
31-12-2007,142.1,142.3,140,141.7,823534,Tata Motors
01-01-2008,141.7,146.4,140.7,145.6,1325083,Tata Motors
02-01-2008,146.4,152.2,143.8,151.5,2033504,Tata Motors
03-01-2008,152.8,155.8,149,151.2,2027738,Tata Motors
04-01-2008,152.8,157.4,147.3,149.3,1776745,Tata Motors
07-01-2008,149.5,154.3,145.7,150,1457640,Tata Motors
08-01-2008,150.9,152.7,146.2,148,1407617,Tata Motors
09-01-2008,146.5,150.3,144,147.1,1160319,Tata Motors
10-01-2008,149.5,153.1,142.1,143.1,3382646,Tata Motors
11-01-2008,148.9,148.9,140.6,145.7,1284579,Tata Motors
14-01-2008,146.1,148.8,144.9,146.2,977468,Tata Motors
15-01-2008,148.5,150.9,144.9,146.8,1232319,Tata Motors
16-01-2008,143.2,144.2,139.5,143.2,1204742,Tata Motors
17-01-2008,143.2,144.2,139.5,140.7,879267,Tata Motors
18-01-2008,140.7,140.9,134.9,136.4,783241,Tata Motors
21-01-2008,136.3,136.7,121.7,124.8,1254800,Tata Motors
22-01-2008,121.3,131.8,101.3,124.3,1418976,Tata Motors
23-01-2008,129.8,135.6,122,125.8,1051545,Tata Motors
24-01-2008,128.5,132.4,123.2,125.8,1152704,Tata Motors
25-01-2008,127.4,137.1,127.4,135.7,1218813,Tata Motors
28-01-2008,134.6,141.2,127.9,136.1,620145,Tata Motors
29-01-2008,137.5,140.8,133.9,136.7,507027,Tata Motors
30-01-2008,138.2,138.2,131,133.1,653612,Tata Motors
31-01-2008,135.4,137.5,131.1,133.6,1435453,Tata Motors
01-02-2008,135.2,145.1,134.8,143.9,1416266,Tata Motors
04-02-2008,146.1,150.4,144,147,1225673,Tata Motors
05-02-2008,147,147.8,142.3,144,876988,Tata Motors
06-02-2008,140.2,141.9,134.2,140.5,647497,Tata Motors
07-02-2008,141.3,143,133.3,136.6,528624,Tata Motors
08-02-2008,136.9,139.4,133.1,135.8,287893,Tata Motors
