Date,Open,High,Low,Close,Volume,Company
03-07-2006,48.4,48.4,46.1,46.5,337869,Tata Power
04-07-2006,46.4,47,44.9,45.1,163255,Tata Power
05-07-2006,45.8,46.7,44.4,46.3,460514,Tata Power
06-07-2006,46,46.5,45.3,46.1,298667,Tata Power
07-07-2006,45.8,46.2,45.2,45.6,464259,Tata Power
10-07-2006,45.8,46.3,44.8,46.1,245519,Tata Power
11-07-2006,45.9,46.8,45.8,46.7,148569,Tata Power
12-07-2006,45,46.6,43.5,46.1,126868,Tata Power
13-07-2006,46.4,48,45.4,47.7,358959,Tata Power
14-07-2006,47,47.3,45.8,46.1,209897,Tata Power
17-07-2006,46.1,47.2,44.8,46.5,287001,Tata Power
18-07-2006,47,47.5,44.8,46.9,194122,Tata Power
19-07-2006,47.3,47.3,45.4,46.1,255739,Tata Power
20-07-2006,46.6,47.3,45.6,46.6,139204,Tata Power
21-07-2006,46.5,46.5,44.3,44.7,101492,Tata Power
24-07-2006,44,45.7,42.7,45.5,120069,Tata Power
25-07-2006,44.8,46.7,44.8,46.4,134400,Tata Power
26-07-2006,44.9,48.1,44.9,47.9,219426,Tata Power
27-07-2006,48.2,49.6,47.7,48.3,385462,Tata Power
28-07-2006,45.3,48.5,45.3,47.8,252282,Tata Power
31-07-2006,47.7,49.5,46.5,47.1,162442,Tata Power
01-08-2006,47.2,47.6,46.3,46.9,117762,Tata Power
02-08-2006,46.7,48.5,46.6,48,244587,Tata Power
03-08-2006,48.6,49.1,47.3,47.9,181952,Tata Power
04-08-2006,47.6,48.8,47.1,47.9,187056,Tata Power
07-08-2006,47.6,48.4,47.6,48,137299,Tata Power
08-08-2006,48.3,49.1,48,48.6,223151,Tata Power
09-08-2006,48.8,49.3,47.7,48.3,314223,Tata Power
10-08-2006,47.5,49.1,47.5,48.4,159878,Tata Power
11-08-2006,48.4,48.9,47.7,48.2,104204,Tata Power
14-08-2006,49.6,49.6,48.2,48.4,99203,Tata Power
16-08-2006,49,50,48.6,48.7,169931,Tata Power
17-08-2006,49.5,50.2,47.8,49.8,287995,Tata Power
18-08-2006,50.3,50.8,49.9,50.6,268174,Tata Power
21-08-2006,50.6,51.3,50.2,50.5,182144,Tata Power
22-08-2006,50.5,51.1,50.1,50.5,143409,Tata Power
23-08-2006,50.5,50.8,49.6,50.5,101461,Tata Power
24-08-2006,50.1,51.2,49.7,50.6,364827,Tata Power
25-08-2006,50.9,51.9,50.6,51.5,288176,Tata Power
28-08-2006,51.6,52.8,51.5,52.3,246902,Tata Power
29-08-2006,52.3,53,51.7,51.9,104022,Tata Power
30-08-2006,52.1,52.5,50.3,50.7,122244,Tata Power
31-08-2006,50.9,51.7,50.1,50.9,197430,Tata Power
01-09-2006,51.7,52.4,50.8,51.9,80078,Tata Power
04-09-2006,52.3,52.8,51.6,52.6,103303,Tata Power
05-09-2006,52.5,52.6,51.5,51.9,56629,Tata Power
06-09-2006,52,52.5,51.4,51.7,133247,Tata Power
07-09-2006,51.6,52.2,51.1,52,129054,Tata Power
08-09-2006,52,52.3,51.4,51.9,67591,Tata Power
11-09-2006,51.6,51.6,47.8,48.9,185417,Tata Power
12-09-2006,48.4,49,46.9,48.5,212714,Tata Power
13-09-2006,49,51.1,48.8,50.5,372322,Tata Power
14-09-2006,50.5,51.7,49.2,51.4,485561,Tata Power
15-09-2006,51.4,51.7,50.1,50.8,332696,Tata Power
18-09-2006,51.6,51.6,49.9,50.2,204428,Tata Power
19-09-2006,49.6,50.6,48.3,49.8,657301,Tata Power
20-09-2006,49.3,50.4,48.7,50.2,398009,Tata Power
21-09-2006,50.2,50.9,50.2,50.5,61249,Tata Power
22-09-2006,50.6,51.1,50,50.7,179399,Tata Power
25-09-2006,49.1,51.1,49.1,50.8,237747,Tata Power
26-09-2006,51.1,51.3,50.3,51,237989,Tata Power
27-09-2006,51.3,52,51.3,51.8,310657,Tata Power
28-09-2006,51.8,53.9,51.7,53.5,534574,Tata Power
29-09-2006,53.1,55,53.1,54.7,591456,Tata Power
03-10-2006,54.8,54.8,53.2,53.6,102480,Tata Power
04-10-2006,54.1,54.4,51.6,51.9,361810,Tata Power
05-10-2006,52.9,53.3,51.2,51.7,355575,Tata Power
06-10-2006,51.1,53,51.1,52,233060,Tata Power
09-10-2006,51.9,52.5,51.2,52.1,184019,Tata Power
10-10-2006,52.5,52.5,51.6,51.8,77812,Tata Power
11-10-2006,51.8,52.9,51.8,52.2,213928,Tata Power
12-10-2006,51.1,52.4,51.1,51.9,410989,Tata Power
13-10-2006,52,52.4,51.1,51.6,156196,Tata Power
16-10-2006,52,52.1,51.4,51.8,814071,Tata Power
17-10-2006,53,53,51.1,51.2,250950,Tata Power
18-10-2006,51.2,51.7,50.8,51.4,297419,Tata Power
19-10-2006,51.7,51.7,50.7,51.2,376142,Tata Power
20-10-2006,51.1,51.8,50.9,51,591181,Tata Power
23-10-2006,51.5,51.5,50.6,51.3,178859,Tata Power
26-10-2006,50.6,51.7,50.6,50.8,346177,Tata Power
27-10-2006,51.1,51.3,50.4,51.1,381112,Tata Power
30-10-2006,51.4,51.7,50.7,51.5,353682,Tata Power
31-10-2006,51.9,53,51.7,52.1,541093,Tata Power
01-11-2006,51.1,53,51.1,52.7,139300,Tata Power
02-11-2006,52.1,53.3,52.1,53.1,164682,Tata Power
03-11-2006,51.3,53.7,51.3,53.4,213209,Tata Power
06-11-2006,52,53.9,52,53.4,197830,Tata Power
07-11-2006,53,53.8,52.1,52.8,144618,Tata Power
08-11-2006,52.9,53.4,51.2,52.8,151183,Tata Power
09-11-2006,51,53.2,51,52.8,307520,Tata Power
10-11-2006,52.8,53.5,52.1,53,493602,Tata Power
13-11-2006,52.2,54.1,52.2,53,547547,Tata Power
14-11-2006,53.4,53.8,52.4,53.7,280062,Tata Power
15-11-2006,53.9,54.4,53.4,53.8,340301,Tata Power
