Date,Open,High,Low,Close,Volume,Company
30-11-2023,1200,1400,1200,1313,46579444,Tata Technologies
01-12-2023,1339.3,1348,1211.6,1220.6,18681419,Tata Technologies
04-12-2023,1220.6,1234,1151.2,1192.7,14740755,Tata Technologies
05-12-2023,1192.7,1222,1175,1191.9,4422358,Tata Technologies
06-12-2023,1202,1207.5,1181,1188.5,2735968,Tata Technologies
07-12-2023,1193,1199,1180,1185.7,1624651,Tata Technologies
08-12-2023,1189,1219.7,1188.3,1192.6,2528210,Tata Technologies
11-12-2023,1199,1269.7,1193,1237.4,8017469,Tata Technologies
12-12-2023,1254,1263.1,1230,1233.3,2426780,Tata Technologies
13-12-2023,1244,1284.8,1236.2,1250.4,4281933,Tata Technologies
14-12-2023,1270,1275,1240.2,1243.3,1992554,Tata Technologies
15-12-2023,1256,1256.7,1240,1242.2,1239743,Tata Technologies
18-12-2023,1245.7,1249.2,1225.6,1229.3,1000620,Tata Technologies
19-12-2023,1233,1259.8,1224.6,1241.6,2086748,Tata Technologies
20-12-2023,1247.9,1248.8,1198,1201.2,1604663,Tata Technologies
21-12-2023,1165.3,1218.6,1165.3,1208.9,1504596,Tata Technologies
22-12-2023,1214.7,1222.5,1205,1208.8,701235,Tata Technologies
26-12-2023,1210,1218,1200.5,1202.8,575200,Tata Technologies
27-12-2023,1208,1212.9,1196.2,1199.6,656321,Tata Technologies
28-12-2023,1200,1201.9,1169,1176,1913710,Tata Technologies
29-12-2023,1180,1188,1170.5,1180.2,974333,Tata Technologies
01-01-2024,1184,1197.9,1180,1180.5,794228,Tata Technologies
02-01-2024,1184,1188.9,1177,1182,720393,Tata Technologies
03-01-2024,1180,1185,1168,1172.1,937005,Tata Technologies
04-01-2024,1175,1181.6,1169.5,1171.4,706442,Tata Technologies
05-01-2024,1173.5,1179.4,1170,1171.4,824122,Tata Technologies
08-01-2024,1174.7,1179,1168.6,1171.5,475513,Tata Technologies
09-01-2024,1178.1,1179,1165,1166.9,733601,Tata Technologies
10-01-2024,1170.1,1170.1,1156,1163.3,626896,Tata Technologies
11-01-2024,1168,1169,1158,1159.6,636047,Tata Technologies
12-01-2024,1163.7,1202,1160.1,1167.5,2470848,Tata Technologies
15-01-2024,1180,1184.9,1169.2,1171.8,757174,Tata Technologies
16-01-2024,1171.9,1171.9,1160,1163.3,729567,Tata Technologies
17-01-2024,1157.9,1166.4,1153.3,1156.5,718624,Tata Technologies
18-01-2024,1155.1,1160.9,1130.1,1150.4,763685,Tata Technologies
19-01-2024,1157,1157,1140,1140.7,835628,Tata Technologies
23-01-2024,1162.2,1163.5,1140,1142.4,571921,Tata Technologies
24-01-2024,1149,1153.9,1139.5,1142.6,469822,Tata Technologies
25-01-2024,1146,1151.6,1138.5,1144.6,556575,Tata Technologies
29-01-2024,1161,1163,1137,1138.6,1043648,Tata Technologies
30-01-2024,1141.5,1144,1118.1,1120.9,1123701,Tata Technologies
31-01-2024,1124.7,1124.7,1108.8,1111.4,780688,Tata Technologies
01-02-2024,1119,1119,1094.1,1098.5,1090740,Tata Technologies
02-02-2024,1101.1,1106,1088.1,1098.3,873712,Tata Technologies
05-02-2024,1101.1,1102.4,1080,1081.8,845963,Tata Technologies
06-02-2024,1082.5,1163.6,1071.1,1130.3,3429953,Tata Technologies
07-02-2024,1148.3,1148.8,1109.4,1113.9,999988,Tata Technologies
08-02-2024,1122.8,1135.9,1106.4,1113.9,736687,Tata Technologies
09-02-2024,1116.4,1154.4,1098.7,1130.3,1238596,Tata Technologies
12-02-2024,1134,1137,1106,1110.4,618737,Tata Technologies
13-02-2024,1120,1120,1084.6,1104.5,585320,Tata Technologies
14-02-2024,1093,1120,1089.3,1106.8,443941,Tata Technologies
15-02-2024,1113,1119.8,1100.9,1107.1,372945,Tata Technologies
16-02-2024,1111.7,1114,1101.1,1105.9,377791,Tata Technologies
19-02-2024,1108.7,1133.1,1107.3,1123.3,697681,Tata Technologies
20-02-2024,1123.8,1167.7,1121,1152.7,1872013,Tata Technologies
21-02-2024,1165,1170,1138.3,1154.4,1186147,Tata Technologies
22-02-2024,1160,1165.1,1142.2,1156.8,552410,Tata Technologies
23-02-2024,1161.7,1179,1156.3,1160.5,942660,Tata Technologies
26-02-2024,1160.5,1161,1096.3,1098.7,2759041,Tata Technologies
27-02-2024,1104,1110.1,1073.6,1075.8,1589007,Tata Technologies
28-02-2024,1080,1086.5,1043,1046,1801058,Tata Technologies
29-02-2024,1045,1095,1033.1,1083.4,2111686,Tata Technologies
01-03-2024,1097.7,1105,1086.1,1088.4,718126,Tata Technologies
04-03-2024,1096.7,1096.7,1070,1072.9,573201,Tata Technologies
05-03-2024,1087,1100.3,1072.1,1075.5,1042769,Tata Technologies
06-03-2024,1075.5,1076.2,1058,1069.2,539700,Tata Technologies
07-03-2024,1070.3,1146.5,1070.3,1127.4,4509646,Tata Technologies
11-03-2024,1130,1130,1080,1084.7,1504557,Tata Technologies
12-03-2024,1087,1092.3,1063.7,1066.9,904060,Tata Technologies
13-03-2024,1082.1,1097,1020,1037.5,1631514,Tata Technologies
14-03-2024,1038,1065,1031.1,1052.2,962813,Tata Technologies
15-03-2024,1052.7,1060,1042.3,1049.7,706494,Tata Technologies
18-03-2024,1051,1054.8,1041.6,1047.5,521728,Tata Technologies
19-03-2024,1048,1055,1040.5,1042.1,391912,Tata Technologies
20-03-2024,1041.9,1047.1,1026.6,1033.1,689327,Tata Technologies
21-03-2024,1043,1048,1029.1,1031.3,783615,Tata Technologies
22-03-2024,1031,1038,1027,1032,593736,Tata Technologies
26-03-2024,1032,1036,1020,1022,870115,Tata Technologies
27-03-2024,1025.5,1033,1021,1029.2,988891,Tata Technologies
28-03-2024,1029.5,1038.3,1020,1020.6,886283,Tata Technologies
01-04-2024,1040,1057.5,1033.5,1049.8,957844,Tata Technologies
02-04-2024,1059.5,1127,1048.1,1092,5508984,Tata Technologies
03-04-2024,1104.7,1146,1058.4,1134.2,4906449,Tata Technologies
04-04-2024,1143,1147.8,1116.2,1137.4,2509059,Tata Technologies
05-04-2024,1133,1138,1116,1121.7,1309639,Tata Technologies
08-04-2024,1130.1,1130.7,1100,1101.9,999892,Tata Technologies
09-04-2024,1110.9,1129.7,1091.1,1107.5,4438421,Tata Technologies
10-04-2024,1110,1118,1098.1,1101.9,856601,Tata Technologies
12-04-2024,1100,1107.4,1088.9,1090.4,677949,Tata Technologies
15-04-2024,1062,1074.3,1050.4,1065.5,1068842,Tata Technologies
16-04-2024,1060,1081.7,1050,1054,1259361,Tata Technologies
18-04-2024,1068,1071.7,1047.1,1049.3,809389,Tata Technologies
19-04-2024,1040,1045.3,1033.1,1040.7,853013,Tata Technologies
22-04-2024,1053.6,1063.3,1043.6,1051.7,694127,Tata Technologies
23-04-2024,1055,1094.7,1053.9,1082.5,1233965,Tata Technologies
24-04-2024,1088.4,1090.2,1078.1,1087,659168,Tata Technologies
25-04-2024,1084.7,1084.7,1067.1,1069.3,729379,Tata Technologies
26-04-2024,1074.7,1081.9,1070,1072.6,403555,Tata Technologies
29-04-2024,1080.1,1080.1,1063,1066.9,689225,Tata Technologies
30-04-2024,1067,1070,1058,1067.2,566375,Tata Technologies
02-05-2024,1069.4,1095,1064.6,1090.2,1716282,Tata Technologies
03-05-2024,1100,1109.8,1076,1086.8,1612124,Tata Technologies
06-05-2024,1042,1058.5,1032.7,1045.2,1881524,Tata Technologies
07-05-2024,1050,1055.5,1025.1,1039.5,975627,Tata Technologies
08-05-2024,1040,1044.8,1028,1029.3,526737,Tata Technologies
09-05-2024,1034.4,1036.2,1012,1015.4,692890,Tata Technologies
10-05-2024,1019.4,1022.8,1006.1,1009.7,652741,Tata Technologies
13-05-2024,1014.4,1026.9,1005,1021,436398,Tata Technologies
14-05-2024,1029.9,1063.1,1022.2,1058.2,895977,Tata Technologies
15-05-2024,1058,1061.1,1048,1050.7,434399,Tata Technologies
16-05-2024,1056.4,1062.2,1046,1049,241264,Tata Technologies
17-05-2024,1053,1053.5,1044,1046.4,335954,Tata Technologies
21-05-2024,1058,1060.8,1048.7,1051.7,353873,Tata Technologies
22-05-2024,1059.9,1061.8,1050.1,1053.1,241610,Tata Technologies
23-05-2024,1054.8,1059.8,1048.3,1049.9,309616,Tata Technologies
24-05-2024,1050.8,1109.9,1049,1084.5,2240387,Tata Technologies
27-05-2024,1093.7,1115.9,1085.2,1090.9,1316522,Tata Technologies
28-05-2024,1078,1087.9,1063,1066,597485,Tata Technologies
29-05-2024,1057,1072.3,1051,1052.5,465777,Tata Technologies
30-05-2024,1052.5,1067.3,1045.1,1050,540209,Tata Technologies
31-05-2024,1049.1,1056,1023.8,1030.2,676794,Tata Technologies
03-06-2024,1070,1070,1034.2,1035.5,806191,Tata Technologies
04-06-2024,1035.5,1037.5,982.3,1013.5,1738234,Tata Technologies
05-06-2024,1027,1033.6,1000.1,1029.8,662401,Tata Technologies
06-06-2024,1043,1061,1036.3,1048.7,915629,Tata Technologies
07-06-2024,1057,1071.1,1050,1061.4,1001179,Tata Technologies
10-06-2024,1061.4,1069.5,1053.9,1057.6,689544,Tata Technologies
11-06-2024,1063.1,1073.7,1058.1,1059.7,854848,Tata Technologies
12-06-2024,1063,1067.5,1055,1058.9,840937,Tata Technologies
13-06-2024,1058,1063,1046.5,1049.1,959539,Tata Technologies
14-06-2024,1049.1,1049.5,1036.9,1037.7,1146052,Tata Technologies
18-06-2024,1040.4,1042,1028,1029.6,1188441,Tata Technologies
19-06-2024,1040,1043.9,1021,1027.5,1124383,Tata Technologies
20-06-2024,1027.4,1027.4,1004.3,1010.4,2391725,Tata Technologies
21-06-2024,1010.4,1013.9,982.7,992.3,7044016,Tata Technologies
24-06-2024,992.3,1007,989.8,999.7,1093347,Tata Technologies
25-06-2024,1004,1007,1000,1001,468341,Tata Technologies
26-06-2024,1004,1010,1000.4,1003.6,512833,Tata Technologies
27-06-2024,1005,1026.5,1003,1017.3,1343843,Tata Technologies
28-06-2024,1019.2,1027.9,1017.3,1022,744581,Tata Technologies
01-07-2024,1023.3,1029.5,1012,1014.9,627199,Tata Technologies
02-07-2024,1014.9,1019.1,1006.8,1009.6,433251,Tata Technologies
03-07-2024,1014.3,1014.3,1008.2,1009.8,409471,Tata Technologies
04-07-2024,1013.4,1013.4,1006.2,1009,460871,Tata Technologies
05-07-2024,1013,1019,1009.1,1010.4,704826,Tata Technologies
08-07-2024,1014.9,1015.8,1003,1004.6,459742,Tata Technologies
09-07-2024,1004.6,1024.6,1004.5,1012.3,1004845,Tata Technologies
10-07-2024,1012,1026.8,1007.7,1011.5,902487,Tata Technologies
11-07-2024,1014.8,1022.9,1012,1015,693392,Tata Technologies
12-07-2024,1019.5,1043,1015,1033.4,2878465,Tata Technologies
15-07-2024,1040,1043.9,1022,1025.4,1098815,Tata Technologies
16-07-2024,1027.4,1033,1012.3,1015.3,802135,Tata Technologies
18-07-2024,1019.3,1020,1008,1009.2,655960,Tata Technologies
19-07-2024,998,1005.8,990,997.2,1176579,Tata Technologies
22-07-2024,997.2,998,990.5,992.7,594894,Tata Technologies
23-07-2024,995,1007,983,996.7,761466,Tata Technologies
24-07-2024,995,1007.7,994,997.3,366520,Tata Technologies
25-07-2024,996,1002,994,999.6,382077,Tata Technologies
26-07-2024,1000,1004,997.1,999,736307,Tata Technologies
29-07-2024,1002,1007.4,999.1,1000.5,400954,Tata Technologies
30-07-2024,1004.5,1004.5,998,999.1,434066,Tata Technologies
31-07-2024,1000,1004,999,999.4,323172,Tata Technologies
01-08-2024,1001,1004,994,995.4,578837,Tata Technologies
02-08-2024,993,997.2,990.8,992,355341,Tata Technologies
05-08-2024,981,985.5,970.1,976.3,1058840,Tata Technologies
06-08-2024,976.3,994,976,983.1,656501,Tata Technologies
07-08-2024,990,1002,983.1,999.2,564967,Tata Technologies
08-08-2024,1000,1004.3,992.2,998.8,445571,Tata Technologies
09-08-2024,1004.7,1010,987.5,989.7,391532,Tata Technologies
12-08-2024,985,994.9,980.4,993.1,386111,Tata Technologies
13-08-2024,993,996.9,988,994.5,438966,Tata Technologies
14-08-2024,994.1,996,980,992.4,347203,Tata Technologies
16-08-2024,995,1012,993.2,999.1,1201484,Tata Technologies
19-08-2024,1007.4,1007.4,996,998.7,344295,Tata Technologies
20-08-2024,1001,1040,998,1004.4,3447339,Tata Technologies
21-08-2024,1007,1048.8,1000.5,1025.5,5021319,Tata Technologies
22-08-2024,1036.5,1045,1002.4,1007.2,3583853,Tata Technologies
23-08-2024,1013,1054.8,1013,1037,17489571,Tata Technologies
26-08-2024,1053,1064.9,1040,1048.7,9134874,Tata Technologies
27-08-2024,1038,1107,1021.6,1099.4,23579885,Tata Technologies
28-08-2024,1107,1115,1075.1,1078.8,11550853,Tata Technologies
29-08-2024,1080,1089.9,1057.4,1061.3,4381449,Tata Technologies
30-08-2024,1069,1080,1054.2,1065.6,5294901,Tata Technologies
02-09-2024,1075,1076,1048,1051,3261188,Tata Technologies
03-09-2024,1057,1074.3,1045.6,1068.8,4403973,Tata Technologies
04-09-2024,1058,1068,1051.6,1056.2,2328712,Tata Technologies
05-09-2024,1063,1088,1058.3,1074.9,4763630,Tata Technologies
06-09-2024,1083,1122.9,1075.1,1112.7,13365102,Tata Technologies
09-09-2024,1115,1115,1074.3,1077.6,4375346,Tata Technologies
10-09-2024,1088.9,1109.7,1085.1,1091,3214864,Tata Technologies
11-09-2024,1098,1107.8,1073.9,1077.9,2809030,Tata Technologies
12-09-2024,1089.9,1095,1079.2,1083.8,1885495,Tata Technologies
13-09-2024,1090,1105.9,1085.3,1089.7,2198936,Tata Technologies
16-09-2024,1106,1120.9,1090.8,1094.7,3107177,Tata Technologies
17-09-2024,1095.5,1100.5,1077.9,1080.3,1432399,Tata Technologies
18-09-2024,1082,1086.9,1062.1,1065.8,1546582,Tata Technologies
19-09-2024,1080.5,1097,1051.9,1060.8,3066974,Tata Technologies
20-09-2024,1069.4,1136,1067,1114.7,9382071,Tata Technologies
23-09-2024,1130,1130,1101,1106.7,3099891,Tata Technologies
24-09-2024,1109.7,1113.3,1096,1098.5,1205371,Tata Technologies
25-09-2024,1100.8,1111,1085,1088.6,1216881,Tata Technologies
26-09-2024,1090,1107,1084,1095,1315081,Tata Technologies
27-09-2024,1099,1134.7,1098.7,1121,3504368,Tata Technologies
30-09-2024,1115,1118,1100.2,1103.2,1343474,Tata Technologies
01-10-2024,1105,1112,1091.4,1094.3,993851,Tata Technologies
03-10-2024,1078.9,1087.7,1061.1,1063.3,1400311,Tata Technologies
04-10-2024,1063.4,1082,1047.3,1057.5,1924098,Tata Technologies
07-10-2024,1065,1070.7,1016.5,1025.9,2132467,Tata Technologies
08-10-2024,1030,1048.6,1021.6,1044,977237,Tata Technologies
09-10-2024,1064,1064.1,1044.2,1048.7,1352959,Tata Technologies
10-10-2024,1045.1,1089.2,1045.1,1064.7,2986720,Tata Technologies
11-10-2024,1064.7,1068.5,1051.7,1054.6,822064,Tata Technologies
14-10-2024,1057.5,1062.5,1048.1,1051,805321,Tata Technologies
15-10-2024,1057.9,1064,1052.4,1056.7,738519,Tata Technologies
16-10-2024,1042,1080,1042,1077.7,1483760,Tata Technologies
17-10-2024,1076.9,1087.9,1058,1059.9,1259528,Tata Technologies
18-10-2024,1055,1067.5,1044.6,1060.1,809483,Tata Technologies
21-10-2024,1063.5,1075,1050,1052.8,952178,Tata Technologies
22-10-2024,1056,1063.8,1020.1,1022.6,1145278,Tata Technologies
23-10-2024,1023.7,1056.9,1014.1,1040.1,1319982,Tata Technologies
24-10-2024,1040.9,1051.3,1018.2,1024.9,1022283,Tata Technologies
25-10-2024,1028,1032.9,1000.1,1011.5,1207440,Tata Technologies
28-10-2024,1016,1030.6,994.5,999.5,1338772,Tata Technologies
29-10-2024,1004.5,1016.4,986.8,999.8,1707586,Tata Technologies
30-10-2024,1005,1012.9,1000.2,1005.6,768153,Tata Technologies
31-10-2024,1005.6,1012.9,1000.2,1006.3,458842,Tata Technologies
04-11-2024,1029,1029,1002,1010.7,617622,Tata Technologies
05-11-2024,1010,1014.8,1004,1012.1,513631,Tata Technologies
06-11-2024,1020,1038,1014.3,1033.9,841279,Tata Technologies
07-11-2024,1035,1036,1013,1017,488039,Tata Technologies
08-11-2024,1018.3,1019.7,1003,1005,506343,Tata Technologies
11-11-2024,1005,1005.5,995,996.2,593172,Tata Technologies
12-11-2024,999,1005.7,990.1,993.3,471171,Tata Technologies
13-11-2024,991.4,997.1,956.7,961.5,1248272,Tata Technologies
14-11-2024,961.5,971.7,957,962.3,639883,Tata Technologies
18-11-2024,968,968,940,941.2,985878,Tata Technologies
19-11-2024,944.1,959,943.1,948.6,633404,Tata Technologies
21-11-2024,954,954.9,931.1,933.2,803218,Tata Technologies
22-11-2024,935.6,944,931,941.2,527538,Tata Technologies
25-11-2024,955,963,941,943.2,629942,Tata Technologies
26-11-2024,946.8,953,940.1,942.9,463315,Tata Technologies
27-11-2024,945,948.5,937.7,940,667310,Tata Technologies
28-11-2024,942.9,950.9,931.1,933,1216017,Tata Technologies
29-11-2024,934,944.4,933.1,938.5,633079,Tata Technologies
02-12-2024,939.1,957,936.4,948.8,1097909,Tata Technologies
03-12-2024,951,973.9,951,956.4,1023745,Tata Technologies
04-12-2024,961,968.9,948.5,951.8,947324,Tata Technologies
05-12-2024,953,962.9,950.2,954.3,859736,Tata Technologies
06-12-2024,958.7,959.9,949.4,953.9,701971,Tata Technologies
09-12-2024,954.5,960,947,948,753971,Tata Technologies
10-12-2024,950,951.6,937,943.6,907420,Tata Technologies
11-12-2024,944,946.6,941.2,943.2,424721,Tata Technologies
12-12-2024,945.8,955,940,942,861974,Tata Technologies
13-12-2024,942,947,935,937.6,901494,Tata Technologies
16-12-2024,937,942,931.1,932.1,783880,Tata Technologies
17-12-2024,933.5,936.6,927,933.2,1030266,Tata Technologies
18-12-2024,935,936.7,913,914.6,946006,Tata Technologies
19-12-2024,910,918.9,903.9,911.7,757644,Tata Technologies
20-12-2024,913,920,890,893.3,1131778,Tata Technologies
23-12-2024,898,902,883.3,889.4,754295,Tata Technologies
24-12-2024,891,922.9,888,908.5,1053095,Tata Technologies
26-12-2024,910.4,914.5,897.7,900.5,431341,Tata Technologies
27-12-2024,902,907.9,897.3,898.9,347544,Tata Technologies
30-12-2024,899,899.9,886,894.8,685564,Tata Technologies
31-12-2024,894,897.9,887.2,891.4,437699,Tata Technologies
01-01-2025,894,897,887.7,890.8,438587,Tata Technologies
02-01-2025,890.8,909.9,890.1,904.8,633036,Tata Technologies
03-01-2025,906.7,912.5,895,896.6,626222,Tata Technologies
06-01-2025,898,900.9,874.2,876.4,787086,Tata Technologies
07-01-2025,881,888,878.1,881.5,424409,Tata Technologies
08-01-2025,898,912,882,886.3,2186334,Tata Technologies
09-01-2025,885.8,889.6,869.8,874.3,576021,Tata Technologies
10-01-2025,872.9,876.2,828.3,834.2,1850032,Tata Technologies
13-01-2025,830,834.4,790.6,794.9,1857927,Tata Technologies
14-01-2025,804.4,813,795.2,799.2,988607,Tata Technologies
15-01-2025,804,815.6,796.7,799.9,813771,Tata Technologies
16-01-2025,809,819.5,803.7,806.5,1189610,Tata Technologies
17-01-2025,808,815.9,803.1,807.7,576384,Tata Technologies
20-01-2025,810.1,815.7,807,812.5,600235,Tata Technologies
21-01-2025,816,841.3,812,816.9,1296074,Tata Technologies
22-01-2025,808.1,808.9,788.7,798.9,1340656,Tata Technologies
23-01-2025,800,818.5,797.2,798.9,717266,Tata Technologies
24-01-2025,798.9,806.8,781,782.9,834302,Tata Technologies
27-01-2025,780,781.4,756,760.1,1044493,Tata Technologies
28-01-2025,765,775.2,737.1,754.1,1197217,Tata Technologies
29-01-2025,757,784.9,756.1,781.4,689657,Tata Technologies
30-01-2025,786.5,790.5,775.3,777.2,440309,Tata Technologies
31-01-2025,779.6,790,777,787.6,562277,Tata Technologies
03-02-2025,770.3,774.2,758.4,768.3,531189,Tata Technologies
04-02-2025,772,780.4,763.8,769.8,519038,Tata Technologies
05-02-2025,772.2,799.2,772.2,794.5,769632,Tata Technologies
06-02-2025,799,803,784,785.2,521817,Tata Technologies
07-02-2025,786,789.8,775,776.6,443249,Tata Technologies
10-02-2025,780,786.4,767.1,769.4,446340,Tata Technologies
11-02-2025,766,769.3,745,746.7,643480,Tata Technologies
12-02-2025,748.8,751.4,725.3,738.6,832761,Tata Technologies
13-02-2025,738.5,750.8,736.1,737.9,492851,Tata Technologies
14-02-2025,743.7,744.2,718,733.9,774682,Tata Technologies
17-02-2025,731,735,715.5,721,905911,Tata Technologies
18-02-2025,724.1,731.5,711.2,721.3,789771,Tata Technologies
19-02-2025,720,734.1,712.6,729.7,728933,Tata Technologies
20-02-2025,735,764,735,748,2436661,Tata Technologies
21-02-2025,748,758.5,740.6,742.6,565582,Tata Technologies
24-02-2025,740,741,731.5,733.2,595866,Tata Technologies
25-02-2025,732,736.8,723.5,731.2,542643,Tata Technologies
27-02-2025,725,729.9,712.1,715.3,906397,Tata Technologies
28-02-2025,700.5,709,664.5,671.8,3334724,Tata Technologies
03-03-2025,675.1,679.4,634.6,666.3,2362959,Tata Technologies
04-03-2025,657.1,677,645,647,1905284,Tata Technologies
05-03-2025,647,676.9,647,674.4,1628269,Tata Technologies
06-03-2025,682,684.4,668.5,670.6,1332776,Tata Technologies
07-03-2025,671,682.6,665.1,671.6,1281819,Tata Technologies
10-03-2025,674.5,676,650,653.7,1147690,Tata Technologies
11-03-2025,650,655.8,643.7,646.8,1144801,Tata Technologies
12-03-2025,651,653.6,635.1,642.1,1421625,Tata Technologies
13-03-2025,645,647.1,630.2,636.8,1582003,Tata Technologies
18-03-2025,632,652.9,631.7,648.1,1614250,Tata Technologies
19-03-2025,648.1,676.7,646.1,671.3,1830368,Tata Technologies
20-03-2025,680,682,665,666,1459554,Tata Technologies
21-03-2025,668.7,706.3,665.9,685.8,4158476,Tata Technologies
24-03-2025,690,709.2,688.2,698.7,2289747,Tata Technologies
25-03-2025,708.7,728.8,695,698.3,4612048,Tata Technologies
26-03-2025,703,706.6,687.6,700.1,2490867,Tata Technologies
27-03-2025,687,694.7,681,687.2,2902393,Tata Technologies
28-03-2025,689,698,673.6,679.9,2185464,Tata Technologies
01-04-2025,677.9,691,674.7,687.1,1618830,Tata Technologies
02-04-2025,687,690,675.1,687.9,866567,Tata Technologies
03-04-2025,684.9,691,677.5,680.1,1107386,Tata Technologies
04-04-2025,678,681.9,642,648.7,2136268,Tata Technologies
07-04-2025,602,618.2,597,608.4,2470876,Tata Technologies
08-04-2025,625,632.7,611.4,615.9,1276218,Tata Technologies
09-04-2025,615.9,617.9,599,613.2,1581175,Tata Technologies
11-04-2025,634,634,618.6,632.1,1237867,Tata Technologies
15-04-2025,637.9,655.5,637,650.5,1136518,Tata Technologies
16-04-2025,654,656.8,647.5,653.8,842461,Tata Technologies
17-04-2025,651,656.7,648.4,651.5,931823,Tata Technologies
21-04-2025,655,686.8,655,684,2379038,Tata Technologies
22-04-2025,690.1,711.8,679,705.8,3221069,Tata Technologies
23-04-2025,715.5,726.9,711.8,720.5,2737947,Tata Technologies
24-04-2025,725,731.8,715,717.2,1858600,Tata Technologies
25-04-2025,722.7,724,688.8,693.2,1658895,Tata Technologies
28-04-2025,693.4,712.4,686.6,705.6,1714693,Tata Technologies
29-04-2025,685,692.4,662.2,663.7,45313207,Tata Technologies
30-04-2025,663,667.8,655.4,657.9,3045604,Tata Technologies
02-05-2025,657.9,665.9,648,647.1,1989314,Tata Technologies
05-05-2025,649,668.9,645.8,666.1,2548152,Tata Technologies
06-05-2025,667.7,669.2,647.2,648.6,1469433,Tata Technologies
07-05-2025,639.9,660,639.1,657.7,1117034,Tata Technologies
08-05-2025,660.1,672.8,651.1,654.7,2172018,Tata Technologies
09-05-2025,640.1,667.8,640,666,1787647,Tata Technologies
12-05-2025,676,705,671.4,701.1,5059163,Tata Technologies
13-05-2025,704,712.6,700.1,704.5,2264880,Tata Technologies
14-05-2025,711,711,701.1,706.5,1659444,Tata Technologies
15-05-2025,710.9,723,709.1,720,2615228,Tata Technologies
16-05-2025,724,754.2,721.5,750.9,3928300,Tata Technologies
19-05-2025,758.5,777.4,749.1,759.8,3591839,Tata Technologies
20-05-2025,769.7,769.7,741.1,743.8,2296851,Tata Technologies
21-05-2025,742,759.3,737.5,757.2,1721453,Tata Technologies
22-05-2025,757,768.9,748.5,763.7,1518934,Tata Technologies
23-05-2025,767,773,761.4,764.8,1188286,Tata Technologies
26-05-2025,766,769.9,758.3,763.4,1125598,Tata Technologies
27-05-2025,764.2,781.5,761.3,773.1,2539579,Tata Technologies
28-05-2025,773.1,783.2,754,757.6,2616719,Tata Technologies
29-05-2025,760,774.3,755.6,771.2,1582508,Tata Technologies
30-05-2025,775.5,790.6,767.3,773.6,7983586,Tata Technologies
02-06-2025,773,779.3,765.3,774.3,1147257,Tata Technologies
03-06-2025,778,778.1,764.6,767.5,956266,Tata Technologies
04-06-2025,759,769,752.5,759.6,7455667,Tata Technologies
05-06-2025,761.5,776,760.6,764.6,2797200,Tata Technologies
06-06-2025,766.7,767.7,751.4,758.5,2210099,Tata Technologies
