Date,Open,High,Low,Close,Volume,Company
27-06-2017,257,271.4,257,263.5,13384596,Tejas Network
28-06-2017,265,273.9,263.8,269.4,1421224,Tejas Network
29-06-2017,270,279.5,267,275.5,817704,Tejas Network
30-06-2017,279,312,276,302.5,2717341,Tejas Network
03-07-2017,303.5,310.8,295.3,302.8,715808,Tejas Network
04-07-2017,300.3,309.8,297.7,304.8,574673,Tejas Network
05-07-2017,300.2,304.8,299,301.5,245988,Tejas Network
06-07-2017,299.1,324.8,299.1,318.5,1424441,Tejas Network
07-07-2017,317.9,365.8,312.1,346.9,3189181,Tejas Network
10-07-2017,355,373.5,350.6,367.3,754636,Tejas Network
11-07-2017,369.2,377,330.5,343.3,2079413,Tejas Network
12-07-2017,345.1,346.1,319,339.7,1287537,Tejas Network
13-07-2017,341.8,348.4,324.1,331.3,685743,Tejas Network
14-07-2017,331.9,336,291.5,312.2,1166541,Tejas Network
17-07-2017,311.9,338,299,326.9,1034632,Tejas Network
18-07-2017,326.9,341.4,321.3,327.7,732388,Tejas Network
19-07-2017,328.9,352.8,325.1,349.2,1057372,Tejas Network
20-07-2017,350.5,366.9,338.2,350.8,1025376,Tejas Network
21-07-2017,351.1,354.2,338.6,348.3,491580,Tejas Network
24-07-2017,345,348.1,334.9,339.2,241909,Tejas Network
25-07-2017,340.1,344.9,332,335.7,205099,Tejas Network
26-07-2017,338,338.9,322,329.1,416023,Tejas Network
27-07-2017,331.8,333,320,327.2,165253,Tejas Network
28-07-2017,327,343,323,334.2,257005,Tejas Network
31-07-2017,337,345.8,330,336.8,148384,Tejas Network
01-08-2017,337.2,342.9,328.8,331.2,87577,Tejas Network
02-08-2017,333.7,333.7,327.5,330.9,60574,Tejas Network
03-08-2017,331,355,331,340.3,1037797,Tejas Network
04-08-2017,341.5,359.5,341.5,349.7,636449,Tejas Network
07-08-2017,348,351,332.7,337.6,162797,Tejas Network
08-08-2017,337.9,344.7,324.2,332.5,150621,Tejas Network
09-08-2017,330,331.1,319.4,325.1,111095,Tejas Network
10-08-2017,329.9,329.9,299,318.2,172024,Tejas Network
11-08-2017,312,338.8,305,330.8,219783,Tejas Network
14-08-2017,332,334.4,322.3,325.6,113518,Tejas Network
16-08-2017,326.2,332.7,323.1,326.8,106916,Tejas Network
17-08-2017,328,354.8,327.2,342.9,513794,Tejas Network
18-08-2017,340,340.5,332.1,334.2,73556,Tejas Network
21-08-2017,335.2,344.5,325.3,327.1,92036,Tejas Network
22-08-2017,332.7,335,325.1,327.4,60472,Tejas Network
23-08-2017,330,332,324.1,325.9,61931,Tejas Network
24-08-2017,330.7,335.5,328.3,329.8,96728,Tejas Network
28-08-2017,335,336.3,329.1,330.6,59175,Tejas Network
29-08-2017,328,336.4,323.6,331.1,102147,Tejas Network
30-08-2017,336.7,343,332.5,340.3,171176,Tejas Network
31-08-2017,340,359,336,348.4,249643,Tejas Network
01-09-2017,343,351.6,341,341.7,74775,Tejas Network
04-09-2017,342.8,348.5,333.7,337.8,86429,Tejas Network
05-09-2017,341,347.4,336.2,339.4,103520,Tejas Network
06-09-2017,336,340.7,333,334.7,66883,Tejas Network
07-09-2017,338,339,330,331.5,68414,Tejas Network
08-09-2017,334,339.8,333.2,337.5,140726,Tejas Network
11-09-2017,339.8,352.3,339.2,347.2,466158,Tejas Network
12-09-2017,349,359.7,345,348.4,493143,Tejas Network
13-09-2017,349.9,350.2,340,340.4,68174,Tejas Network
14-09-2017,342.9,344.7,334.4,339,94592,Tejas Network
15-09-2017,340.8,354.4,335.1,341.9,365840,Tejas Network
18-09-2017,342,345.7,335.1,336,107732,Tejas Network
19-09-2017,338,340.3,334.8,335.3,78916,Tejas Network
20-09-2017,335.7,338.6,330,330.5,56980,Tejas Network
21-09-2017,333.8,334.8,326.5,327.4,52295,Tejas Network
22-09-2017,330,330,312.5,316.8,117264,Tejas Network
25-09-2017,310.1,315.5,301.1,302.8,490930,Tejas Network
26-09-2017,302.6,323,302.6,321.9,124885,Tejas Network
27-09-2017,325.9,330,283.2,309.9,177822,Tejas Network
28-09-2017,310,311.1,295.9,300.5,92031,Tejas Network
29-09-2017,305,305,295,296.6,274612,Tejas Network
03-10-2017,300,302.6,288,291.7,136389,Tejas Network
04-10-2017,295,315.5,292,305.9,159797,Tejas Network
05-10-2017,308.2,311.8,298.1,309.1,91105,Tejas Network
06-10-2017,314,314,301.1,304.5,136163,Tejas Network
09-10-2017,302.6,309.9,301,302.2,74553,Tejas Network
10-10-2017,301.1,308.8,301.1,305.8,72616,Tejas Network
11-10-2017,307,307.3,295.6,299.2,43942,Tejas Network
12-10-2017,298.7,301.5,295.4,297.6,58486,Tejas Network
13-10-2017,300,300,292,295.3,72082,Tejas Network
16-10-2017,297,310.8,296,303.1,459964,Tejas Network
17-10-2017,305.7,310,301,304.4,56810,Tejas Network
18-10-2017,300,308.3,300,303.2,51052,Tejas Network
19-10-2017,302.2,305,299,299.3,20277,Tejas Network
23-10-2017,302,307.5,298.2,304.5,98952,Tejas Network
24-10-2017,307,310,302.4,307.9,91421,Tejas Network
25-10-2017,312,334.9,307.8,320.9,811042,Tejas Network
26-10-2017,333,335.9,324.3,326.5,330564,Tejas Network
27-10-2017,326,332.5,320.1,324.8,182491,Tejas Network
30-10-2017,320.1,331,320,322.5,71541,Tejas Network
31-10-2017,322.2,329.5,320.1,326.2,100771,Tejas Network
01-11-2017,322,390,322,374.6,1111507,Tejas Network
02-11-2017,378.8,390,365.1,383.4,613202,Tejas Network
03-11-2017,385.1,390,376,381,325787,Tejas Network
06-11-2017,377.5,380,368.7,371.1,85286,Tejas Network
07-11-2017,371.1,375,351.1,367.1,158038,Tejas Network
08-11-2017,367,369.6,355.1,358.8,119858,Tejas Network
09-11-2017,357.1,367.7,353,360,132871,Tejas Network
10-11-2017,360,405,357,384.7,478398,Tejas Network
13-11-2017,395,408.9,387.7,396.5,312104,Tejas Network
14-11-2017,399.4,400,388.7,392.6,146097,Tejas Network
15-11-2017,392,410,381.1,391.6,265169,Tejas Network
16-11-2017,392.2,424,387.3,412.9,577915,Tejas Network
17-11-2017,414.7,429,408.1,412.2,424713,Tejas Network
20-11-2017,412.2,423.8,401,405.7,322448,Tejas Network
