Date,Open,High,Low,Close,Volume,Company
03-07-2006,29.9,31.1,29.8,30.7,495383,Titan
04-07-2006,31,31.2,30.3,30.4,380238,Titan
05-07-2006,30.5,31.1,29.3,30.8,363367,Titan
06-07-2006,30.2,32.4,30.2,32,1254460,Titan
07-07-2006,32.6,32.7,29.9,30.3,913888,Titan
10-07-2006,30.1,30.7,29.4,30,589912,Titan
11-07-2006,30.2,30.4,29.5,29.7,385381,Titan
12-07-2006,29.5,30.6,29,30.3,546920,Titan
13-07-2006,30.3,31,30,30.4,511829,Titan
14-07-2006,29.9,30.3,29.6,30.2,359300,Titan
17-07-2006,30.5,30.9,28.3,29,878821,Titan
18-07-2006,28.5,28.9,26.9,28,1194349,Titan
19-07-2006,28,29,27.3,28.5,966968,Titan
20-07-2006,29,29.3,28.2,28.5,431232,Titan
21-07-2006,28.3,28.6,27.5,27.8,267280,Titan
24-07-2006,27.7,28,26.7,27.5,267054,Titan
25-07-2006,28.2,28.4,27.6,28.1,288261,Titan
26-07-2006,28.4,28.9,27.8,28.5,299654,Titan
27-07-2006,28.5,31.3,28.4,30.6,951857,Titan
28-07-2006,31,32.2,29.8,30.2,372174,Titan
31-07-2006,30.4,30.7,29.8,30.1,202098,Titan
01-08-2006,30.1,31.3,29.6,31,643990,Titan
02-08-2006,31,31.8,31,31.4,518399,Titan
03-08-2006,31.5,32.2,31.3,31.8,459736,Titan
04-08-2006,31.9,32,31.1,31.2,232019,Titan
07-08-2006,31,31.5,30.9,31.1,115610,Titan
08-08-2006,31.3,31.7,31.2,31.4,117074,Titan
09-08-2006,31.3,35.7,31.2,35.3,1784919,Titan
10-08-2006,36,37.8,35.3,37.4,2400407,Titan
11-08-2006,37.4,38.3,36.8,37.6,1331960,Titan
14-08-2006,37.7,38.3,37.3,37.8,573402,Titan
16-08-2006,38.2,38.5,36.7,36.9,882946,Titan
17-08-2006,37.5,39.2,37.1,37.7,2212746,Titan
18-08-2006,37.8,38.8,37.4,38.2,915840,Titan
21-08-2006,38.4,38.9,37.8,38.3,719104,Titan
22-08-2006,38.4,39,37.9,38.3,1057398,Titan
