Date,Open,High,Low,Close,Volume,Company
03-07-2006,71.5,72,69.6,69.7,3051,Trent
04-07-2006,70.1,70.9,67.8,68.6,3621,Trent
05-07-2006,68.6,70,66.2,68.5,3662,Trent
06-07-2006,69.3,69.9,68,69.3,1373,Trent
07-07-2006,70.8,70.8,65.1,68,1404,Trent
10-07-2006,68,69.5,67.3,68.7,2003,Trent
11-07-2006,68.1,69.5,68,68.5,1001,Trent
12-07-2006,69,69.4,66.2,68.7,1787,Trent
13-07-2006,68.5,68.8,67.3,67.9,842,Trent
14-07-2006,67.5,68,67.3,67.4,370,Trent
17-07-2006,68.8,68.9,67.5,67.5,1168,Trent
18-07-2006,67.6,68.3,67,68.2,583,Trent
19-07-2006,69,69,65,67.9,1212,Trent
20-07-2006,69.1,70.8,67.7,68.2,673,Trent
21-07-2006,68.5,68.5,65.5,65.8,1034,Trent
24-07-2006,65.2,66.6,64.1,66.1,1523,Trent
25-07-2006,66.1,69.9,65.1,68.2,1718,Trent
26-07-2006,69.5,70.2,67.1,69.3,1621,Trent
27-07-2006,70.7,72,68.5,68.9,39494,Trent
28-07-2006,69,69.8,68,68.9,451,Trent
31-07-2006,69.5,69.9,69,69.2,855,Trent
01-08-2006,68.2,71.3,68.2,70.8,2946,Trent
02-08-2006,71.3,73,70.6,72.1,3837,Trent
03-08-2006,73.6,74.7,71.5,72.9,3422,Trent
04-08-2006,72.9,73.2,70.8,71.3,1302,Trent
07-08-2006,73,73.2,71,71.6,868,Trent
08-08-2006,71.7,71.7,70.7,70.9,705,Trent
09-08-2006,72.5,73.2,71.2,72.8,1558,Trent
10-08-2006,72.5,73.5,72.4,73.3,1463,Trent
11-08-2006,73,80.6,72,76.8,6161,Trent
14-08-2006,75,80.5,74,78.1,2359,Trent
16-08-2006,79.5,79.5,78.2,78.8,1965,Trent
17-08-2006,79,79,77,78.2,1296,Trent
18-08-2006,79,79,76.1,77,896,Trent
21-08-2006,74,78.7,74,78.5,1418,Trent
22-08-2006,80,80.8,78.5,79.6,3870,Trent
23-08-2006,80,81,78.2,79.9,3707,Trent
24-08-2006,78.5,84,77,81.1,3431,Trent
25-08-2006,81,82.4,80.5,81.7,3107,Trent
28-08-2006,82,82.8,81,82.3,863,Trent
29-08-2006,82.5,83.2,80.3,82.2,2653,Trent
30-08-2006,81.5,82.8,81,81.8,1458,Trent
31-08-2006,80.2,84.1,80.2,83.5,2589,Trent
01-09-2006,82.9,89,82.9,84,4275,Trent
04-09-2006,83.6,85,83,83.4,1170,Trent
05-09-2006,83.5,89.4,82,86.4,4914,Trent
06-09-2006,86.5,88,84.5,85.4,2598,Trent
07-09-2006,83.7,87,83.6,86.5,1427,Trent
08-09-2006,86,89,85.1,87.8,4424,Trent
11-09-2006,88.9,88.9,85.5,87.9,8000,Trent
12-09-2006,83.6,91,83.6,89.8,4533,Trent
13-09-2006,88.5,92,87.2,88.3,2811,Trent
14-09-2006,90,90,87,89.1,4156,Trent
15-09-2006,83.8,90,83.8,89.9,3034,Trent
18-09-2006,88.6,92,88,91,4841,Trent
19-09-2006,90.2,92,88.6,90.9,5169,Trent
20-09-2006,90,91.5,88.9,89.4,1241,Trent
21-09-2006,90,90,87.5,89.7,7416,Trent
22-09-2006,89,90,86.5,87.1,1662,Trent
25-09-2006,88.5,88.5,86,86.7,2253,Trent
26-09-2006,87,87,85.2,85.3,1623,Trent
27-09-2006,86.5,86.5,85.1,85.5,1371,Trent
28-09-2006,86,89,82,87.6,2810,Trent
29-09-2006,87,90,85.1,88.4,2150,Trent
03-10-2006,93.6,93.6,84.8,87.9,488,Trent
04-10-2006,87.5,89.7,85.5,86.2,809,Trent
05-10-2006,86,91.5,86,89.5,4679,Trent
06-10-2006,87.3,89,87,87.4,502,Trent
09-10-2006,86.4,87.8,85.6,86.3,1295,Trent
10-10-2006,86.6,87,85.8,86,747,Trent
11-10-2006,92,92,87,88.3,68574,Trent
12-10-2006,90.8,90.8,83,89.2,3656,Trent
13-10-2006,86.7,89.6,86.7,87.5,2333,Trent
16-10-2006,89.5,90,87.6,88,2140,Trent
17-10-2006,87,88.5,86.6,88,1505,Trent
18-10-2006,89,89.5,87.8,87.9,3393,Trent
