Date,Open,High,Low,Close,Volume,Company
03-07-2006,78.2,78.5,74.8,75.1,51234,Voltas
04-07-2006,77.6,77.6,73,73.2,33680,Voltas
05-07-2006,73.5,76.8,72.9,75,121412,Voltas
06-07-2006,73.1,76,73,74.7,20759,Voltas
07-07-2006,75.4,78.4,74.5,76.8,109380,Voltas
10-07-2006,76.8,78,76.5,76.9,29027,Voltas
11-07-2006,77.2,77.9,75,76.3,17023,Voltas
12-07-2006,74.5,76,73.8,75,18685,Voltas
13-07-2006,76.7,77,73.5,76,13500,Voltas
14-07-2006,75,75.5,74,75,14138,Voltas
17-07-2006,78.1,79.9,69.5,70.7,19402,Voltas
18-07-2006,73,73,67.8,68.2,53496,Voltas
19-07-2006,69,69.5,63.2,63.7,97577,Voltas
20-07-2006,67.7,68,64.8,65.1,88501,Voltas
21-07-2006,67,67.3,65,66.3,52205,Voltas
24-07-2006,64,66,61.7,65.2,16053,Voltas
25-07-2006,65.5,76.4,65.5,73.3,96926,Voltas
26-07-2006,74,81,73.5,78.2,353764,Voltas
27-07-2006,79,83,75.5,77,156653,Voltas
28-07-2006,78,79.5,75.1,76.2,39772,Voltas
31-07-2006,77.5,81.5,76.9,79.6,148460,Voltas
01-08-2006,78.1,79.9,77.5,78,27190,Voltas
02-08-2006,78.7,78.8,76.5,77.1,27748,Voltas
03-08-2006,77.7,80.8,77.7,78.3,54473,Voltas
04-08-2006,77.1,79.3,76.8,77.2,19071,Voltas
07-08-2006,78.3,78.3,76,76.3,15421,Voltas
08-08-2006,76.5,85.9,72.5,77.2,23991,Voltas
09-08-2006,79,79.5,76.5,78.6,27667,Voltas
10-08-2006,78.1,80.5,77.6,78.2,77565,Voltas
11-08-2006,78.6,79.8,78.2,79.4,33935,Voltas
14-08-2006,80,82.9,80,81,104011,Voltas
16-08-2006,82,84.4,81.9,83.3,104645,Voltas
17-08-2006,83.7,87.4,83,85.1,133059,Voltas
18-08-2006,87,87,84.1,84.7,66303,Voltas
21-08-2006,85.9,86.9,84.5,85.8,32083,Voltas
22-08-2006,86.8,87,83.5,84.3,33058,Voltas
23-08-2006,84.6,86,83.2,84.1,30889,Voltas
24-08-2006,83.5,84.5,82,83.5,75316,Voltas
25-08-2006,80,88.8,77,87.7,202881,Voltas
28-08-2006,88.5,94.5,87.6,92.2,288948,Voltas
29-08-2006,92.2,93.8,89.2,90.2,81985,Voltas
30-08-2006,90.5,91.3,88,88.4,35931,Voltas
31-08-2006,89.6,100.4,89.6,94.2,882934,Voltas
01-09-2006,95.1,98.2,94,94.5,417916,Voltas
04-09-2006,95.6,107,94.5,103.4,759650,Voltas
